RESULT	增救.v 2100005001	救 1.0	保护 0.9	杀 0.8	护 0.7	接 0.6	放 0.5	保住 0.3999999999999999	延接 0.29999999999999993	生杀 0.19999999999999996
RESULT	质量.v 2101045019	质量 1.0	量 0.9	质 0.8	品 0.7	品质 0.6	这 0.5	它 0.3999999999999999	价格 0.29999999999999993	品牌 0.19999999999999996	产品 0.09999999999999998
RESULT	质量.v 2102001007	质量 1.0	量 0.9	质 0.8	也 0.7	力 0.6	， 0.5	品质 0.3999999999999999	品牌 0.29999999999999993	产量 0.19999999999999996	效率 0.09999999999999998
RESULT	质量.v 2102002016	质量 1.0	量 0.9	质 0.8	美 0.7	价值 0.6	价 0.5	值 0.3999999999999999	品质 0.29999999999999993	力量 0.19999999999999996	形象 0.09999999999999998
RESULT	质量.v 2102003010	质量 1.0	量 0.9	质 0.8	力 0.7	品质 0.6	性 0.5	化 0.3999999999999999	品牌 0.29999999999999993	产量 0.19999999999999996	价值 0.09999999999999998
RESULT	质量.v 2102005009	质量 1.0	工 0.9	化 0.8	量 0.7	的 0.6	人 0.5	量化 0.3999999999999999	安全 0.29999999999999993	品质 0.19999999999999996	信誉 0.09999999999999998
RESULT	质量.v 2102005019	质量 1.0	了 0.9	量 0.8	质 0.7	人 0.6	品质 0.5	产品 0.3999999999999999	产量 0.29999999999999993	技术 0.19999999999999996	量产 0.09999999999999998
RESULT	质量.v 2102006006	质量 1.0	的 0.9	重 0.8	质 0.7	性 0.6	类 0.5	安全 0.3999999999999999	产量 0.29999999999999993	品质 0.19999999999999996	造价 0.09999999999999998
RESULT	质量.v 2102007010	质量 1.0	量 0.9	质 0.8	新 0.7	全 0.6	安全 0.5	品质 0.3999999999999999	环保 0.29999999999999993	量化 0.19999999999999996	管理 0.09999999999999998
RESULT	质量.v 2102008030	质量 1.0	量 0.9	质 0.8	的 0.7	总 0.6	产量 0.5	技术 0.3999999999999999	品质 0.29999999999999993	量程 0.19999999999999996	工艺 0.09999999999999998
RESULT	质量.v 2102008040	质量 1.0	量 0.9	率 0.8	的 0.7	期 0.6	质 0.5	安全 0.3999999999999999	品质 0.29999999999999993	时间 0.19999999999999996	稳定 0.09999999999999998
RESULT	质量.v 2102009008	质量 1.0	的 0.9	和 0.8	质 0.7	全 0.6	化 0.5	量产 0.3999999999999999	品质 0.29999999999999993	量量 0.19999999999999996	产量 0.09999999999999998
RESULT	质量.v 2102009023	质量 1.0	高 0.9	全 0.8	量 0.7	新 0.6	产量 0.5	品质 0.3999999999999999	技术 0.29999999999999993	检测 0.19999999999999996	量产 0.09999999999999998
RESULT	质量.v 2102009029	质量 1.0	小 0.9	连 0.8	点 0.7	再 0.6	有 0.5	安全 0.3999999999999999	产量 0.29999999999999993	品质 0.19999999999999996	技术 0.09999999999999998
RESULT	质量.v 2102014014	质量 1.0	了 0.9	量 0.8	的 0.7	出 0.6	质 0.5	产品 0.3999999999999999	品质 0.29999999999999993	数量 0.19999999999999996	管理 0.09999999999999998
RESULT	质量.v 2102015017	质量 1.0	的 0.9	量 0.8	质 0.7	， 0.6	总 0.5	产品 0.3999999999999999	测试 0.29999999999999993	品质 0.19999999999999996	产量 0.09999999999999998
RESULT	质量.v 2102015029	质量 1.0	的 0.9	合格 0.8	认证 0.7	技术 0.6	产品 0.5	检测 0.3999999999999999	品质 0.29999999999999993	专利 0.19999999999999996	安全 0.09999999999999998
RESULT	质量.v 2102016012	质量 1.0	质 0.9	量 0.8	也 0.7	力 0.6	好 0.5	品质 0.3999999999999999	产量 0.29999999999999993	品牌 0.19999999999999996	价值 0.09999999999999998
RESULT	质量.v 2104006021	质量 1.0	量 0.9	质 0.8	度 0.7	力 0.6	品 0.5	品质 0.3999999999999999	产量 0.29999999999999993	销量 0.19999999999999996	价格 0.09999999999999998
RESULT	征文.v 2101002017	征文 1.0	文 0.9	稿 0.8	奖 0.7	徵文 0.6	征稿 0.5	论文 0.3999999999999999	作文 0.29999999999999993	投稿 0.19999999999999996	写作 0.09999999999999998
RESULT	征文.v 2101013009	征文 1.0	文 0.9	的 0.8	稿 0.7	博 0.6	徵文 0.5	征稿 0.3999999999999999	投稿 0.29999999999999993	招聘 0.19999999999999996	招募 0.09999999999999998
RESULT	远房.v 2101002023	远房 1.0	老 0.9	亲 0.8	大 0.7	小 0.6	远 0.5	同房 0.3999999999999999	偏房 0.29999999999999993	长房 0.19999999999999996	大房 0.09999999999999998
RESULT	舅舅.v 2101002024	舅舅 1.0	舅 0.9	亲 0.8	子 0.7	侄 0.6	哥 0.5	叔叔 0.3999999999999999	甥舅 0.29999999999999993	姨妈 0.19999999999999996	姑姑 0.09999999999999998
RESULT	聊.v 2101002029	聊 1.0	闲聊 0.9	聊起 0.8	聊聊 0.7	交谈 0.6	讨论 0.5	总结 0.3999999999999999	交流 0.29999999999999993	谈 0.19999999999999996	闲谈 0.09999999999999998
RESULT	觉得.v 2101003001	觉得 1.0	想 0.9	说 0.8	看 0.7	认为 0.6	觉 0.5	们 0.3999999999999999	感觉 0.29999999999999993	相信 0.19999999999999996	知道 0.09999999999999998
RESULT	市场.v 2101003005	市场 1.0	锁 0.9	市 0.8	店 0.7	业 0.6	场 0.5	行业 0.3999999999999999	产业 0.29999999999999993	企业 0.19999999999999996	价格 0.09999999999999998
RESULT	市场.v 2101005023	市场 1.0	它 0.9	市 0.8	场 0.7	他 0.6	农场 0.5	场场 0.3999999999999999	行业 0.29999999999999993	商场 0.19999999999999996	工场 0.09999999999999998
RESULT	市场.v 2101006001	市场 1.0	大 0.9	再 0.8	的 0.7	行业 0.6	股市 0.5	经济 0.3999999999999999	产业 0.29999999999999993	价格 0.19999999999999996	市道 0.09999999999999998
RESULT	市场.v 2101014002	市场 1.0	市 0.9	镇 0.8	港 0.7	场 0.6	街 0.5	广场 0.3999999999999999	市区 0.29999999999999993	港口 0.19999999999999996	商场 0.09999999999999998
RESULT	市场.v 2101020004	市场 1.0	市 0.9	场 0.8	镇 0.7	站 0.6	也 0.5	广场 0.3999999999999999	机场 0.29999999999999993	客运 0.19999999999999996	商场 0.09999999999999998
RESULT	市场.v 2101022002	市场 1.0	场 0.9	市 0.8	街 0.7	路 0.6	镇 0.5	商场 0.3999999999999999	广场 0.29999999999999993	市街 0.19999999999999996	农场 0.09999999999999998
RESULT	市场.v 2101024001	市场 1.0	市 0.9	场 0.8	街 0.7	城 0.6	村 0.5	市区 0.3999999999999999	广场 0.29999999999999993	场场 0.19999999999999996	商场 0.09999999999999998
RESULT	市场.v 2101027005	市场 1.0	街 0.9	市 0.8	场 0.7	店 0.6	逛 0.5	商场 0.3999999999999999	广场 0.29999999999999993	市区 0.19999999999999996	超市 0.09999999999999998
RESULT	市场.v 2101044001	市场 1.0	场 0.9	市 0.8	街 0.7	店 0.6	村 0.5	广场 0.3999999999999999	商场 0.29999999999999993	市区 0.19999999999999996	公司 0.09999999999999998
RESULT	市场.v 2101045002	市场 1.0	市 0.9	的 0.8	， 0.7	店 0.6	场 0.5	商场 0.3999999999999999	公司 0.29999999999999993	企业 0.19999999999999996	行业 0.09999999999999998
RESULT	市场.v 2101045021	市场 1.0	人 0.9	我 0.8	你 0.7	它 0.6	商 0.5	企业 0.3999999999999999	商户 0.29999999999999993	产品 0.19999999999999996	品牌 0.09999999999999998
RESULT	市场.v 2102003020	市场 1.0	市 0.9	场 0.8	网 0.7	世 0.6	业 0.5	行业 0.3999999999999999	销售 0.29999999999999993	国际 0.19999999999999996	场场 0.09999999999999998
RESULT	市场.v 2104003005	市场 1.0	市 0.9	场 0.8	的 0.7	地 0.6	外 0.5	场场 0.3999999999999999	市区 0.29999999999999993	价格 0.19999999999999996	现货 0.09999999999999998
RESULT	兴衰.v 2101003007	兴衰 1.0	衰 0.9	兴 0.8	盛 0.7	事 0.6	死 0.5	盛衰 0.3999999999999999	衰败 0.29999999999999993	崛起 0.19999999999999996	荣辱 0.09999999999999998
RESULT	经商.v 2101003012	经商 1.0	业 0.9	商 0.8	厂 0.7	店 0.6	人 0.5	经营 0.3999999999999999	从商 0.29999999999999993	管理 0.19999999999999996	营商 0.09999999999999998
RESULT	经商.v 2101004008	经商 1.0	也 0.9	亦 0.8	商 0.7	还 0.6	又 0.5	经营 0.3999999999999999	通商 0.29999999999999993	商业 0.19999999999999996	经济 0.09999999999999998
RESULT	经商.v 2101014022	经商 1.0	商 0.9	贸 0.8	经 0.7	货 0.6	运 0.5	经营 0.3999999999999999	通商 0.29999999999999993	贸易 0.19999999999999996	营商 0.09999999999999998
RESULT	经商.v 2101029018	经商 1.0	人 0.9	商 0.8	道 0.7	财 0.6	我 0.5	经营 0.3999999999999999	创业 0.29999999999999993	办事 0.19999999999999996	管理 0.09999999999999998
RESULT	得失.v 2101003014	得失 1.0	失 0.9	败 0.8	坏 0.7	得 0.6	死 0.5	失败 0.3999999999999999	取舍 0.29999999999999993	荣辱 0.19999999999999996	取胜 0.09999999999999998
RESULT	来.v 2101003016	来 1.0	来来 0.9	来讲 0.8	再来 0.7	上来 0.6	到来 0.5	而来 0.3999999999999999	开始 0.29999999999999993	去 0.19999999999999996	看来 0.09999999999999998
RESULT	来.v 2101015032	来 1.0	来来 0.9	而来 0.8	工作 0.7	发展 0.6	买菜 0.5	上来 0.3999999999999999	游玩 0.29999999999999993	里来 0.19999999999999996	做客 0.09999999999999998
RESULT	来.v 2102005002	来 1.0	以来 0.9	年来 0.8	来来 0.7	时间 0.6	期间 0.5	历史 0.3999999999999999	历来 0.29999999999999993	今天 0.19999999999999996	至今 0.09999999999999998
RESULT	话题.v 2101003020	话题 1.0	也 0.9	话 0.8	题 0.7	事 0.6	， 0.5	问题 0.3999999999999999	议题 0.29999999999999993	主题 0.19999999999999996	事情 0.09999999999999998
RESULT	很.v 2101003021	很 1.0	非常 0.9	比较 0.8	更加 0.7	真的 0.6	更为 0.5	更具 0.3999999999999999	的确 0.29999999999999993	真是 0.19999999999999996	也挺 0.09999999999999998
RESULT	有.v 2101003022	有 1.0	具有 0.9	有点 0.8	有些 0.7	没有 0.6	重要 0.5	值得 0.3999999999999999	常有 0.29999999999999993	具体 0.19999999999999996	特有 0.09999999999999998
RESULT	有.v 2101004010	有 1.0	确有 0.9	实有 0.8	具有 0.7	定有 0.6	固有 0.5	有此 0.3999999999999999	有着 0.29999999999999993	存在 0.19999999999999996	显得 0.09999999999999998
RESULT	有.v 2101006017	有 1.0	还有 0.9	只有 0.8	有着 0.7	确有 0.6	有如 0.5	已有 0.3999999999999999	没有 0.29999999999999993	真是 0.19999999999999996	更是 0.09999999999999998
RESULT	有.v 2101014021	有 1.0	有着 0.9	没有 0.8	具有 0.7	已有 0.6	保有 0.5	拥有 0.3999999999999999	还有 0.29999999999999993	存在 0.19999999999999996	是 0.09999999999999998
RESULT	有.v 2101033002	有 1.0	还有 0.9	有着 0.8	拥有 0.7	没有 0.6	设有 0.5	建有 0.3999999999999999	具有 0.29999999999999993	建立 0.19999999999999996	设立 0.09999999999999998
RESULT	有.v 2101033026	有 1.0	没有 0.9	只有 0.8	不是 0.7	是 0.6	叫做 0.5	得有 0.3999999999999999	不会 0.29999999999999993	要用 0.19999999999999996	可有 0.09999999999999998
RESULT	有.v 2101038003	有 1.0	有的 0.9	没有 0.8	具有 0.7	按照 0.6	设有 0.5	拥有 0.3999999999999999	是 0.29999999999999993	一个 0.19999999999999996	不是 0.09999999999999998
RESULT	有.v 2101040005	有 1.0	既有 0.9	有点 0.8	有些 0.7	但有 0.6	具有 0.5	虽有 0.3999999999999999	兼有 0.29999999999999993	还有 0.19999999999999996	既是 0.09999999999999998
RESULT	有.v 2102005072	有 1.0	具有 0.9	具备 0.8	保持 0.7	拥有 0.6	应有 0.5	可有 0.3999999999999999	设有 0.29999999999999993	做到 0.19999999999999996	得到 0.09999999999999998
RESULT	有.v 2103007002	有 1.0	还有 0.9	上有 0.8	只有 0.7	船上 0.6	船员 0.5	上海 0.3999999999999999	又是 0.29999999999999993	又 0.19999999999999996	只见 0.09999999999999998
RESULT	有.v 2103011009	有 1.0	还有 0.9	共有 0.8	已有 0.7	只有 0.6	共计 0.5	又是 0.3999999999999999	还是 0.29999999999999993	只剩 0.19999999999999996	已经 0.09999999999999998
RESULT	有.v 2103016004	有 1.0	存在 0.9	有人 0.8	出现 0.7	发生 0.6	没有 0.5	可有 0.3999999999999999	可见 0.29999999999999993	无人 0.19999999999999996	设有 0.09999999999999998
RESULT	有.v 2104012019	有 1.0	超过 0.9	达到 0.8	高达 0.7	不到 0.6	只有 0.5	不足 0.3999999999999999	多达 0.29999999999999993	大约 0.19999999999999996	不过 0.09999999999999998
RESULT	有.v 2105006005	有 1.0	存在 0.9	建成 0.8	建造 0.7	经 0.6	修建 0.5	保存 0.3999999999999999	走过 0.29999999999999993	开发 0.19999999999999996	开挖 0.09999999999999998
RESULT	有.v 2107001003	有 1.0	共有 0.9	还有 0.8	拥有 0.7	已有 0.6	内有 0.5	现有 0.3999999999999999	设有 0.29999999999999993	市区 0.19999999999999996	设立 0.09999999999999998
RESULT	意义.v 2101003023	意义 1.0	趣 0.9	用 0.8	意 0.7	效 0.6	义 0.5	意思 0.3999999999999999	价值 0.29999999999999993	意涵 0.19999999999999996	道理 0.09999999999999998
RESULT	人文.v 2101004001	人文 1.0	人 0.9	文 0.8	地 0.7	大 0.6	其 0.5	天文 0.3999999999999999	文化 0.29999999999999993	自然 0.19999999999999996	历史 0.09999999999999998
RESULT	地理.v 2101004002	地理 1.0	化 0.9	学 0.8	地 0.7	史 0.6	上 0.5	天理 0.3999999999999999	历史 0.29999999999999993	位置 0.19999999999999996	物理 0.09999999999999998
RESULT	原因.v 2101004004	原因 1.0	话 0.9	因 0.8	故 0.7	好 0.6	原 0.5	因素 0.3999999999999999	缘故 0.29999999999999993	原故 0.19999999999999996	关系 0.09999999999999998
RESULT	原因.v 2102014017	原因 1.0	事 0.9	因 0.8	题 0.7	人 0.6	原 0.5	原由 0.3999999999999999	问题 0.29999999999999993	理由 0.19999999999999996	事情 0.09999999999999998
RESULT	原因.v 2104008006	原因 1.0	因 0.9	是 0.8	原 0.7	有 0.6	二 0.5	因素 0.3999999999999999	主因 0.29999999999999993	原由 0.19999999999999996	理由 0.09999999999999998
RESULT	确.v 2101004009	确 1.0	确确 0.9	确实 0.8	固然 0.7	的确 0.6	绝对 0.5	固 0.3999999999999999	更具 0.29999999999999993	仍然 0.19999999999999996	更为 0.09999999999999998
RESULT	优势.v 2101004011	优势 1.0	势 0.9	利 0.8	优 0.7	限 0.6	效 0.5	劣势 0.3999999999999999	优点 0.29999999999999993	特点 0.19999999999999996	特色 0.09999999999999998
RESULT	改革.v 2101005001	改革 1.0	革 0.9	改 0.8	此 0.7	这 0.6	新 0.5	革命 0.3999999999999999	转型 0.29999999999999993	变革 0.19999999999999996	建国 0.09999999999999998
RESULT	当时.v 2101005005	当时 1.0	时 0.9	又 0.8	仍 0.7	也 0.6	还 0.5	那时 0.3999999999999999	当年 0.29999999999999993	当初 0.19999999999999996	时时 0.09999999999999998
RESULT	属.v 2101005006	属 1.0	属于 0.9	尚属 0.8	为 0.7	隶属 0.6	是 0.5	处于 0.3999999999999999	还是 0.29999999999999993	为了 0.19999999999999996	又是 0.09999999999999998
RESULT	短缺.v 2101005007	短缺 1.0	短 0.9	新 0.8	缺 0.7	小 0.6	微 0.5	紧缺 0.3999999999999999	缺粮 0.29999999999999993	缺货 0.19999999999999996	宽裕 0.09999999999999998
RESULT	又是.v 2101005012	又是 1.0	是 0.9	又 0.8	刚 0.7	也 0.6	才 0.5	还是 0.3999999999999999	既是 0.29999999999999993	就是 0.19999999999999996	却是 0.09999999999999998
RESULT	刚.v 2101005013	刚 1.0	刚刚 0.9	没有 0.8	刚才 0.7	几乎 0.6	完全 0.5	迅速 0.3999999999999999	已经 0.29999999999999993	一边 0.19999999999999996	一个 0.09999999999999998
RESULT	撂下.v 2101005014	撂下 1.0	下 0.9	起 0.8	动 0.7	撂 0.6	拾 0.5	放下 0.3999999999999999	抛下 0.29999999999999993	扔下 0.19999999999999996	扛下 0.09999999999999998
RESULT	锄头.v 2101005015	锄头 1.0	锄 0.9	头 0.8	锹 0.7	来 0.6	地 0.5	斧头 0.3999999999999999	犁头 0.29999999999999993	铲头 0.19999999999999996	刀头 0.09999999999999998
RESULT	缝纫机.v 2101005019	缝纫 1.0	织机 0.9	工具 0.8	织布 0.7	剪刀 0.6	机器 0.5	手机 0.3999999999999999	纺织 0.29999999999999993	纺机 0.19999999999999996	机械 0.09999999999999998
RESULT	火爆.v 2101005025	火爆 1.0	火 0.9	爆 0.8	热 0.7	也 0.6	又 0.5	爆炸 0.3999999999999999	爆发 0.29999999999999993	火热 0.19999999999999996	燃爆 0.09999999999999998
RESULT	掩盖.v 2101005026	掩盖 1.0	盖 0.9	掩 0.8	遮 0.7	除 0.6	蔽 0.5	掩饰 0.3999999999999999	遮盖 0.29999999999999993	掩蔽 0.19999999999999996	隐藏 0.09999999999999998
RESULT	潜在.v 2101005028	潜在 1.0	新 0.9	它 0.8	潜 0.7	大 0.6	他 0.5	隐藏 0.3999999999999999	现在 0.29999999999999993	存在 0.19999999999999996	潜伏 0.09999999999999998
RESULT	危机.v 2101005031	危机 1.0	危 0.9	机 0.8	险 0.7	病 0.6	战 0.5	危险 0.3999999999999999	危害 0.29999999999999993	问题 0.19999999999999996	风险 0.09999999999999998
RESULT	萧条.v 2101006002	萧条 1.0	萧 0.9	化 0.8	落 0.7	滞 0.6	衰 0.5	寒冬 0.3999999999999999	衰退 0.29999999999999993	萎缩 0.19999999999999996	崩溃 0.09999999999999998
RESULT	重新.v 2101006007	重新 1.0	重 0.9	再 0.8	又 0.7	新 0.6	也 0.5	重重 0.3999999999999999	重复 0.29999999999999993	再次 0.19999999999999996	再度 0.09999999999999998
RESULT	重新.v 2102012010	重新 1.0	再 0.9	重 0.8	后 0.7	新 0.6	不 0.5	再次 0.3999999999999999	重复 0.29999999999999993	再行 0.19999999999999996	恢复 0.09999999999999998
RESULT	重新.v 2103024020	重新 1.0	又 0.9	再 0.8	新 0.7	重 0.6	次 0.5	再次 0.3999999999999999	重复 0.29999999999999993	重重 0.19999999999999996	一次 0.09999999999999998
RESULT	审视.v 2101006008	审视 1.0	看 0.9	视 0.8	审 0.7	回 0.6	读 0.5	检视 0.3999999999999999	看视 0.29999999999999993	观察 0.19999999999999996	看待 0.09999999999999998
RESULT	认识.v 2101006012	认识 1.0	识 0.9	看 0.8	感 0.7	认 0.6	觉 0.5	意识 0.3999999999999999	认为 0.29999999999999993	认知 0.19999999999999996	感觉 0.09999999999999998
RESULT	认识.v 2101008009	认识 1.0	认 0.9	知 0.8	识 0.7	爱 0.6	悟 0.5	认知 0.3999999999999999	了解 0.29999999999999993	认为 0.19999999999999996	理解 0.09999999999999998
RESULT	字.v 2101006016	字 1.0	词 0.9	十字 0.8	也 0.7	小字 0.6	人字 0.5	都 0.3999999999999999	人 0.29999999999999993	句 0.19999999999999996	书 0.09999999999999998
RESULT	字.v 2101029013	字 1.0	大字 0.9	名字 0.8	部分 0.7	十字 0.6	单字 0.5	单位 0.3999999999999999	十年 0.29999999999999993	词 0.19999999999999996	十倍 0.09999999999999998
RESULT	重.v 2101006021	重 1.0	轻 0.9	巨大 0.8	轻重 0.7	大 0.6	大量 0.5	多重 0.3999999999999999	厚重 0.29999999999999993	负重 0.19999999999999996	厚 0.09999999999999998
RESULT	党委.v 2101007003	党委 1.0	委 0.9	党 0.8	市 0.7	区 0.6	县 0.5	市委 0.3999999999999999	县委 0.29999999999999993	区委 0.19999999999999996	政委 0.09999999999999998
RESULT	组建.v 2101007006	组建 1.0	建 0.9	组 0.8	办 0.7	成 0.6	设 0.5	组织 0.3999999999999999	组成 0.29999999999999993	成立 0.19999999999999996	建立 0.09999999999999998
RESULT	组建.v 2101032001	组建 1.0	建 0.9	成 0.8	有 0.7	组 0.6	搞 0.5	组成 0.3999999999999999	成立 0.29999999999999993	建立 0.19999999999999996	创建 0.09999999999999998
RESULT	统一.v 2101007010	统一 1.0	统 0.9	一 0.8	定 0.7	高 0.6	严 0.5	统筹 0.3999999999999999	一一 0.29999999999999993	通过 0.19999999999999996	确定 0.09999999999999998
RESULT	标准.v 2101007012	标准 1.0	标 0.9	准 0.8	法 0.7	价 0.6	线 0.5	准则 0.3999999999999999	准入 0.29999999999999993	规范 0.19999999999999996	指标 0.09999999999999998
RESULT	标准.v 2101038005	标准 1.0	标 0.9	的 0.8	准 0.7	线 0.6	标签 0.5	规范 0.3999999999999999	准则 0.29999999999999993	规则 0.19999999999999996	标志 0.09999999999999998
