RESULT	增救.v 2100005001	救 2.360103017165401	保护 1.7931066188209615	保住 1.736622187260124	杀 1.544793045988785	生杀 1.5016750371595946	护 1.4228846120780734	放 1.4215957318614216	接 1.3371678831635874	延接 1.3201661652760588
RESULT	征文.v 2101013009	徵文 2.4347097386275527	的 2.4030851532500845	作文 2.3930996591841653	征稿 2.3839805786338832	投稿 2.36552060204854	评选 2.3208991962938557	招聘 2.2731817265847005	采访 2.242994958996018	论文 2.2052287848229186	博文 2.1663623247939157
RESULT	远房.v 2101002023	长房 2.6007129788714383	远亲 2.5311753245741726	同房 2.4255425595636058	偏房 2.418857229428749	隔壁 2.361648346295117	大房 2.355872180988487	近亲 2.3298594072700887	邻居 2.320356685488713	家乡 2.2665040754758015	同乡 2.249904307517717
RESULT	舅舅.v 2101002024	叔叔 2.7405479362340297	舅父 2.7206953485754033	舅 2.6684071609014484	表舅 2.627714750691387	弟弟 2.6135851986659966	亲戚 2.60489447815992	叔父 2.6047042248491326	表弟 2.592956225428828	叔伯 2.5861082693762167	姑姑 2.568409060123345
RESULT	聊.v 2101002029	闲聊 2.68798633358352	谈 2.6756307148604703	聊起 2.6184817174915755	说 2.5509036708716275	交谈 2.5124032832386405	讲 2.502341858847803	聊聊 2.4701406120228317	闲谈 2.460785503635854	讨论 2.400478241176287	交流 2.352153177453344
RESULT	觉得.v 2101003001	认为 2.6976354106528673	感觉 2.455683164103522	发现 2.369252101935597	想 2.3643333815305274	以为 2.3415042843333427	感到 2.3371946383898488	相信 2.3062940392605844	知道 2.203480787339366	看到 2.1815204805294437	看 2.1631571095718662
RESULT	市场.v 2101003005	商场 2.1577732884427823	行业 2.1218276522225437	市 2.044072699429513	产业 2.042819405298813	公司 2.037587923924999	业务 2.031449480420184	商业 2.0184867199213614	品牌 2.012949002340778	企业 2.0097748027765125	场 1.9612452392979414
RESULT	市场.v 2101005023	市面 1.7481932721630862	商场 1.6915836463177032	行业 1.6130461412722135	价格 1.6081035702839062	贸易 1.596056518720308	商业 1.5890600240702137	经济 1.5614157045215615	商品 1.5566305356603913	场面 1.5566284454671742	企业 1.5519940422370695
RESULT	市场.v 2101006001	经济 2.580647213399136	行业 2.4365004621617574	商场 2.377089366834887	股市 2.3698977344463947	产业 2.354841743270566	商业 2.3469270267854223	企业 2.319268583074894	大 2.313471679010263	销售 2.287125815210828	经营 2.2573442841450446
RESULT	市场.v 2101014002	商场 2.9528087219944164	集市 2.938604432214024	市 2.8228441613114676	广场 2.804624090102821	市区 2.7799790607163493	场 2.729836839212471	公司 2.7196679521457057	商城 2.717393272592213	镇 2.7091537440463673	集团 2.6971801734572094
RESULT	市场.v 2101020004	地区 1.791136143935486	商场 1.7592905597431416	城市 1.7520269096638685	市 1.750955761007734	公司 1.738016035461505	市区 1.7258046996193985	广场 1.7134498870015094	场 1.6541657919370412	景区 1.6470182906191204	农场 1.6246276251967484
RESULT	市场.v 2101022002	市 2.7399430182194795	商场 2.5197525354256984	市街 2.4694524327307863	广场 2.425116116533609	农场 2.3820635393191387	街道 2.3583821878177984	场 2.351530880242188	卖场 2.3190926021502705	街 2.3100755718083215	公路 2.2420204495054894
RESULT	市场.v 2101024001	卖场 1.3652228132848498	商场 1.3324920144847803	市 1.280884710812437	街市 1.221729145977087	场 1.1829032525392744	广场 1.1823804491168284	农场 1.1744942256575355	商店 1.174311998380695	市区 1.1740505390767242	公司 1.1421827697245885
RESULT	市场.v 2101027005	商场 2.0280517882700173	超市 1.9347447474196868	卖场 1.8446894626878545	广场 1.8428776725117808	商店 1.8358448226973165	街 1.8147094205631267	货场 1.8121637620006983	市 1.800121648901362	市区 1.7581119990276919	摊位 1.7545178950089433
RESULT	市场.v 2101044001	商场 2.6601679246647927	广场 2.6292886708541534	卖场 2.612074297559207	市 2.611803809888219	货场 2.5320039500696745	市区 2.5024458426360177	场 2.479197243859116	街市 2.4507765426213974	商城 2.4454643594887546	店 2.434137855857063
RESULT	市场.v 2101045002	商场 2.3240475468869004	市 2.167884368377744	广场 2.1663018442584474	地区 2.159466840178233	公司 2.133653687813733	商业 2.1116885430592354	经济 2.1034839298202925	农场 2.0951571397479527	行业 2.093770156562119	企业 2.068055338665427
RESULT	市场.v 2101045021	商场 2.313930912860822	企业 2.15867520423307	品牌 2.09796954358555	行业 2.0890979822949896	产品 2.0671393179286173	社会 2.0540167887895264	商家 2.0459438983369553	产业 2.045566236993295	商户 2.0361187420224476	公司 2.034493727334825
RESULT	市场.v 2102003020	市面 1.8474559286499286	商场 1.673585821590344	社会 1.5781376767649413	场 1.511126097904125	销售 1.5027479868394067	行业 1.4976293769901403	品牌 1.469000470035421	商业 1.4549642118367212	销场 1.4375937234768783	业界 1.4305162787073562
RESULT	市场.v 2104003005	农场 2.585649477883742	现场 2.552511613246661	的 2.5320134345494254	商场 2.531177188918136	地区 2.5014940247229775	市区 2.5008228666619092	上市 2.4963500880183878	广场 2.4539139125658043	各地 2.4195362921725634	商品 2.4063087043201126
RESULT	兴衰.v 2101003007	盛衰 2.3570479001313274	繁荣 2.3159988688961906	兴亡 2.3135757936749193	发展 2.21946690106633	兴旺 2.200282971060569	崛起 2.1776453930844677	衰败 2.1568678733158024	起落 2.119893764544759	荣枯 2.1153622597472235	荣辱 2.106883981211137
RESULT	经商.v 2101003012	经营 2.526735685026255	商业 2.4516365912975018	从商 2.341300270442747	商人 2.2870938663057205	企业 2.265354193492442	营业 2.259023084005822	创业 2.2461802468329073	营商 2.228781576656769	生意 2.2273074859372244	工商 2.2262248199744725
RESULT	经商.v 2101004008	商业 2.3690324367612714	通商 2.364054954644496	从商 2.2680604691266044	工商 2.252249933297314	生意 2.1977813579292276	商贸 2.142645954018816	办事 2.113592702575352	商人 2.102377623321747	经济 1.9887602790330465	开店 1.9739155314401522
RESULT	经商.v 2101014022	商贸 3.105012363719941	贸易 3.0875539231711873	商业 3.027307303452158	从商 3.011200913794145	行商 2.991728749571976	营商 2.9862529503424073	经营 2.960039833672918	通商 2.9447348932180284	经贸 2.8976458909397222	营业 2.831160476485553
RESULT	经商.v 2101029018	商业 2.1330997127791624	经营 2.0688341126070853	创业 1.9518395217985964	商务 1.9437253250698532	营商 1.9240259773712545	工商 1.9144224585426024	行商 1.8766757613772753	事业 1.828134990010792	经济 1.8136204917072838	商人 1.7873165453026378
RESULT	得失.v 2101003014	成败 2.5143604915587385	利弊 2.399438371611463	失败 2.3421697911108414	损失 2.2839529311482765	荣辱 2.2692253271272906	收获 2.202431383860151	起落 2.190731875965151	收益 2.180919309889593	取舍 2.1652478218861875	成功 2.1556731320118643
RESULT	来.v 2101003016	去 2.332585947243453	谈 2.315734890302296	来讲 2.234022255317144	再来 2.2270548506882046	再 2.2236973432177534	我们 2.187303569329851	开始 2.154286205191313	而 2.135704654700158	上来 2.1240763629821977	而来 2.1188147770846872
RESULT	来.v 2101015032	来来 2.392599294322219	去 2.379497151386504	里来 2.3218780053577235	上来 2.3196354122457326	而来 2.1556827213913716	走 2.104478385677682	做客 2.0492928749636055	玩 2.0316450468241025	工作 2.02169278327392	发展 1.9717262065241006
RESULT	来.v 2102005002	以来 3.2596104379745925	间 3.144794105128637	年 3.1156665717135623	中 3.1140256845193006	了 3.0971372438586457	来来 3.0744560480199654	里 3.071842879650866	内 3.0697024047287833	年来 3.056032676655447	后 3.0383921868156833
RESULT	话题.v 2101003020	问题 2.474253186538375	主题 2.4501263573711745	议题 2.2950238993032035	题目 2.2801574542887026	课题 2.263703277819925	论题 2.2032085779457047	命题 2.102627821316606	题材 2.099558195588724	事情 2.0802886528986804	领域 2.020560880889364
RESULT	很.v 2101003021	非常 2.59070479614559	比较 2.237802586009349	极 2.210253171553343	颇 2.203289824974104	更 2.199919570581496	更加 2.07138052790479	挺 2.064142769272848	的确 2.061522942008202	更具 2.0314481469050567	更为 2.028336266304699
RESULT	有.v 2101003022	具有 2.3201914722705057	有点 2.1518048692767984	有些 2.0733286242088393	具 2.0415513547453195	没有 2.0368541072350164	特有 1.9540317575753945	值得 1.9000981429578472	常有 1.8769223370900603	具备 1.8594270396856531	是 1.8582173310692283
RESULT	有.v 2101004010	实有 3.018656810086676	具有 2.4720519092114266	具 2.351736629796311	有着 2.295388023433525	实是 2.278299979427756	定有 2.217660135520169	是 2.0745638908431383	存有 2.0626369188600258	有此 2.0517016197702778	确有 2.034594327841145
RESULT	有.v 2101006017	有着 2.6831780625998447	确有 2.588540287553112	是 2.4856947177602957	可有 2.473478781755038	有如 2.4216308773855717	已有 2.4092469393260325	在 2.304503199807067	还有 2.290141707800728	的 2.210431317733141	没有 2.1970360726169735
RESULT	有.v 2101014021	具有 3.177983986739084	有着 3.117855883014198	拥有 3.068689377583325	存在 2.9066921610213754	已有 2.904572773214249	保有 2.8582264105550594	具备 2.8447694498997045	没有 2.831789757258363	存有 2.8267857891383352	是 2.815198852317162
RESULT	有.v 2101033002	拥有 2.6243646279724118	有着 2.606251677517845	还有 2.548490429326329	具有 2.5357854901403676	设有 2.526984688568494	建有 2.4473046805294905	是 2.4289027427303234	的 2.3577849427419015	具备 2.334579940866658	建立 2.267090336051905
RESULT	有.v 2101033026	是 2.565483852502987	得有 2.518619813988923	没有 2.463804388536907	要 2.4182776138631015	只有 2.4101646520190148	可有 2.4040518081498714	包含 2.38153106621803	可以 2.330283836919687	包括 2.3241701719317978	得到 2.32153314647367
RESULT	有.v 2101038003	具有 1.9208055565539597	拥有 1.88155177207003	设有 1.8438367985791397	是 1.7990710061928374	有的 1.7548634854953022	没有 1.6347309136414907	具备 1.6234623876312468	按照 1.5686856760274464	要求 1.5271946505106473	一个 1.5126245354478005
RESULT	有.v 2101040005	既有 2.1597042483431186	具有 2.0028404362560153	有点 2.001096213890469	还有 1.952254579176736	但有 1.9471919184515099	兼有 1.8855913040819061	多 1.8766199952191358	懂 1.8620905442253994	好 1.8582606029266902	有些 1.8339389098889378
RESULT	有.v 2102005072	具有 3.2634213784662247	应有 3.2362422725487616	拥有 3.2084860213941453	设有 3.1707331357949884	得有 3.131904555195823	是 3.1262516960133877	可有 3.0847106474330914	保有 3.048795959947548	以 3.0281771921854834	具备 2.997265693616839
RESULT	有.v 2103007002	上有 2.0794342605494323	的 1.9584999595595607	还有 1.9276752263062535	船上 1.8870847418168784	是 1.8741968348823606	只有 1.8573922625383796	船员 1.765086069692523	就是 1.5372491280516254	这 1.4988178927763642	只是 1.4832335983459661
RESULT	有.v 2103011009	共有 2.2707009407443155	只有 2.25392879140315	还有 2.2327838404643305	已有 2.1853723953863846	共 2.0270348278785923	由 1.9789176842226393	这 1.9502680087544668	是 1.9091530570995272	将近 1.8995223772176477	共计 1.8812941637339642
RESULT	有.v 2103016004	出现 1.9042879985426862	存在 1.8880395775122836	可见 1.8103861457717583	发生 1.7530609867577749	可有 1.71348548945899	现有 1.662065950470701	存有 1.6619134521135737	设有 1.6322071710369348	发现 1.5520540610821847	有人 1.5492935853707355
RESULT	有.v 2104012019	只有 2.242994395060293	是 2.2349039455314275	为 2.2235425737575714	达到 2.2210630941081875	达 2.1862077942248415	高达 2.1174057995701294	超过 2.0500630784572578	多达 2.0277011552293076	占有 1.9723414422656464	大约 1.9704781764464478
RESULT	有.v 2105006005	经 2.166842997851549	达 1.9101706467920418	近 1.909534269939657	是 1.8892071758211735	过 1.8358183976125186	存在 1.7993750975662721	走过 1.7517605326101142	然 1.7194184477283225	存放 1.6360040605264254	留下 1.6277942192766597
RESULT	有.v 2107001003	已有 2.353439602328047	共有 2.2251105520176435	拥有 2.1437342902771936	还有 2.0837343104318053	现有 2.07673165108021	内有 2.0555202098219385	设有 1.9147395735664687	的 1.8300116155474317	是 1.80408628367774	共 1.6791373934793845
RESULT	意义.v 2101003023	意思 2.416320777813591	价值 2.31290085402574	含义 2.1494118378496956	趣 2.1425543405896526	用 2.1215558052436174	道理 2.105746020797094	必要 2.0827056736493956	涵义 2.052751667576855	意涵 1.991269568873867	重要 1.922900660397678
RESULT	人文.v 2101004001	文化 2.250335677075058	自然 2.1375553388159108	天文 2.1348991197119296	历史 2.073665009476559	人类 2.043019737040828	地理 2.005114932088352	社会 1.9332620039636952	环境 1.8399059516707683	天然 1.8320653895775076	物理 1.823684797628631
RESULT	地理.v 2101004002	环境 2.3396087380286414	地质 2.1191914439687505	地貌 2.093145187845177	景观 2.091620875288859	历史 2.0893408774366202	气候 2.082316773204467	位置 2.07828322447646	资源 2.0370107186875392	社会 1.9711075859650227	经济 1.886516031689965
RESULT	原因.v 2101004004	缘故 2.7781713098862792	因素 2.4383958552217746	影响 2.3042760773471835	优势 2.223210124799358	关系 2.221792566395924	理由 2.1982334877767213	特殊 2.1687697354142723	原故 2.1627468242429604	特点 2.162492493246779	缘由 2.0401127102048675
RESULT	原因.v 2102014017	理由 2.1511538659262874	起因 2.129068168300709	因素 2.0360896478141868	原由 2.0175964871568066	问题 2.0057247770913396	主因 1.9567796511093816	情况 1.8671389389088813	由来 1.8494534667320819	因由 1.8403185454183641	真相 1.7895511866828864
RESULT	原因.v 2104008006	成因 2.961688676470091	因素 2.9599898599268566	理由 2.8489851994321937	根源 2.7494742577328095	诱因 2.733515545716937	缘由 2.7308400593108306	主因 2.7235948853908085	原由 2.701697230071293	源头 2.668195194453275	问题 2.6645906528478727
RESULT	确.v 2101004009	确实 2.974374891880838	的确 2.6267802295211977	具 2.4452637664545147	也 2.268758558148875	颇 2.2261473243221905	固然 2.2233027367685962	仍然 2.148106231991298	绝对 2.1305280448973516	仍 2.122244628889878	固 2.1050623691223764
