RESULT	增救.v 2100005001	增援 1.0	增收 0.9	增补 0.8	增修 0.7	增强 0.6	增给 0.5	增加 0.3999999999999999	增重 0.29999999999999993
RESULT	增救.v 2100006014	增援 1.0	增加 0.9	增补 0.8	增强 0.7	增给 0.6	增修 0.5	增收 0.3999999999999999	增添 0.29999999999999993	增上 0.19999999999999996
RESULT	质量.v 2102005019	品质 1.0	产量 0.9	素质 0.8	产品 0.7	安全 0.6	优质 0.5	科技 0.3999999999999999	品牌 0.29999999999999993	品德 0.19999999999999996	信誉 0.09999999999999998
RESULT	质量.v 2102006006	质量 1.0	安全 0.9	素质 0.8	量量 0.7	性能 0.6	质检 0.5	出品 0.3999999999999999	生产 0.29999999999999993	瑕疵 0.19999999999999996	材料 0.09999999999999998
RESULT	质量.v 2102007010	质量 1.0	品质 0.9	素质 0.8	品牌 0.7	品德 0.6	安全 0.5	产品 0.3999999999999999	高质 0.29999999999999993	技术 0.19999999999999996	科学 0.09999999999999998
RESULT	质量.v 2102008030	品质 1.0	素质 0.9	数量 0.8	安全 0.7	物质 0.6	制度 0.5	成品 0.3999999999999999	料量 0.29999999999999993	标准 0.19999999999999996	数据 0.09999999999999998
RESULT	质量.v 2102008040	成品 1.0	水平 0.9	安全 0.8	标准 0.7	数量 0.6	素质 0.5	效益 0.3999999999999999	性能 0.29999999999999993	效果 0.19999999999999996	精度 0.09999999999999998
RESULT	质量.v 2102009008	质量 1.0	质检 0.9	素质 0.8	质保 0.7	制造 0.6	安全 0.5	保证 0.3999999999999999	优质 0.29999999999999993	性能 0.19999999999999996	质控 0.09999999999999998
RESULT	质量.v 2102009023	素质 1.0	性能 0.9	制造 0.8	检验 0.7	验收 0.6	材质 0.5	优质 0.3999999999999999	合格 0.29999999999999993	安全 0.19999999999999996	生产 0.09999999999999998
RESULT	质量.v 2102009029	疵点 1.0	安全 0.9	物质 0.8	缺陷 0.7	疵瑕 0.6	生产 0.5	瑕疵 0.3999999999999999	材料 0.29999999999999993	合格 0.19999999999999996	性能 0.09999999999999998
RESULT	质量.v 2102014014	质量 1.0	品质 0.9	产品 0.8	材料 0.7	品牌 0.6	成品 0.5	产量 0.3999999999999999	品位 0.29999999999999993	品种 0.19999999999999996	材质 0.09999999999999998
RESULT	质量.v 2102015017	质量 1.0	产品 0.9	品质 0.8	材质 0.7	技术 0.6	尺寸 0.5	性能 0.3999999999999999	工艺 0.29999999999999993	素质 0.19999999999999996	安全 0.09999999999999998
RESULT	质量.v 2102015029	品质 1.0	产品 0.9	资质 0.8	优质 0.7	品牌 0.6	安全 0.5	信誉 0.3999999999999999	达标 0.29999999999999993	素质 0.19999999999999996	性能 0.09999999999999998
RESULT	质量.v 2102016012	质量 1.0	素质 0.9	安全 0.8	质素 0.7	优质 0.6	效益 0.5	水平 0.3999999999999999	标准 0.29999999999999993	性能 0.19999999999999996	力量 0.09999999999999998
RESULT	质量.v 2104006021	质量 1.0	品质 0.9	质地 0.8	质 0.7	产量 0.6	纯度 0.5	质素 0.3999999999999999	素质 0.29999999999999993	量 0.19999999999999996	成品 0.09999999999999998
RESULT	征文.v 2101002017	征文 1.0	文章 0.9	征集 0.8	论文 0.7	征稿 0.6	评选 0.5	活动 0.3999999999999999	作文 0.29999999999999993	竞赛 0.19999999999999996	选文 0.09999999999999998
RESULT	征文.v 2101013009	征文 1.0	征集 0.9	作文 0.8	文章 0.7	推荐 0.6	选文 0.5	博文 0.3999999999999999	论文 0.29999999999999993	征稿 0.19999999999999996	评选 0.09999999999999998
RESULT	远房.v 2101002023	远房 1.0	旧房 0.9	邻居 0.8	长房 0.7	同房 0.6	隔壁 0.5	异乡 0.3999999999999999	异地 0.29999999999999993	边房 0.19999999999999996	姨太 0.09999999999999998
RESULT	舅舅.v 2101002024	舅舅 1.0	大舅 0.9	兄弟 0.8	小舅 0.7	表舅 0.6	哥哥 0.5	姨 0.3999999999999999	舍友 0.29999999999999993	弟弟 0.19999999999999996	祖父 0.09999999999999998
RESULT	聊.v 2101002029	说 1.0	聊 0.9	交流 0.8	闲聊 0.7	讲 0.6	讨论 0.5	扯 0.3999999999999999	问 0.29999999999999993	提 0.19999999999999996	道 0.09999999999999998
RESULT	觉得.v 2101003001	觉得 1.0	认为 0.9	觉着 0.8	感觉 0.7	想 0.6	以为 0.5	看来 0.3999999999999999	看 0.29999999999999993	说 0.19999999999999996	主张 0.09999999999999998
RESULT	市场.v 2101003005	市场 1.0	行业 0.9	商场 0.8	商业 0.7	产业 0.6	商务 0.5	业务 0.3999999999999999	市面 0.29999999999999993	地区 0.19999999999999996	商圈 0.09999999999999998
RESULT	市场.v 2101005023	市场 1.0	市面 0.9	商场 0.8	行业 0.7	产品 0.6	产业 0.5	贸易 0.3999999999999999	生意 0.29999999999999993	批发 0.19999999999999996	行情 0.09999999999999998
RESULT	市场.v 2101006001	市场 1.0	行业 0.9	市面 0.8	商场 0.7	行情 0.6	贸易 0.5	业务 0.3999999999999999	经营 0.29999999999999993	产业 0.19999999999999996	销售 0.09999999999999998
RESULT	市场.v 2101014002	市场 1.0	商场 0.9	集市 0.8	集贸 0.7	批发 0.6	地区 0.5	商业 0.3999999999999999	菜市 0.29999999999999993	商城 0.19999999999999996	商贸 0.09999999999999998
RESULT	市场.v 2101020004	市场 1.0	商场 0.9	地区 0.8	商业 0.7	行业 0.6	商贸 0.5	产业 0.3999999999999999	市面 0.29999999999999993	商品 0.19999999999999996	区域 0.09999999999999998
RESULT	市场.v 2101022002	市场 1.0	地区 0.9	集市 0.8	商场 0.7	区 0.6	市面 0.5	市 0.3999999999999999	镇 0.29999999999999993	行业 0.19999999999999996	社会 0.09999999999999998
RESULT	市场.v 2101024001	市场 1.0	商场 0.9	地方 0.8	地区 0.7	集市 0.6	市 0.5	商店 0.3999999999999999	街 0.29999999999999993	商业 0.19999999999999996	地段 0.09999999999999998
RESULT	市场.v 2101027005	市场 1.0	商场 0.9	杂货 0.8	集市 0.7	超市 0.6	批发 0.5	商品 0.3999999999999999	百货 0.29999999999999993	商店 0.19999999999999996	菜市 0.09999999999999998
RESULT	市场.v 2101044001	市场 1.0	商场 0.9	地方 0.8	行业 0.7	商圈 0.6	市面 0.5	地区 0.3999999999999999	商业 0.29999999999999993	商务 0.19999999999999996	商贸 0.09999999999999998
RESULT	市场.v 2101045002	市场 1.0	商场 0.9	地区 0.8	行业 0.7	商业 0.6	商务 0.5	商贸 0.3999999999999999	集市 0.29999999999999993	市面 0.19999999999999996	商圈 0.09999999999999998
RESULT	市场.v 2101045021	行业 1.0	商场 0.9	企业 0.8	商品 0.7	产业 0.6	产品 0.5	行情 0.3999999999999999	品牌 0.29999999999999993	竞争 0.19999999999999996	商家 0.09999999999999998
RESULT	市场.v 2102003020	市场 1.0	市面 0.9	行业 0.8	商场 0.7	销售 0.6	竞争 0.5	生产 0.3999999999999999	贸易 0.29999999999999993	国际 0.19999999999999996	世界 0.09999999999999998
RESULT	市场.v 2104003005	市场 1.0	市面 0.9	市 0.8	商场 0.7	场 0.6	大市 0.5	各市 0.3999999999999999	期 0.29999999999999993	市况 0.19999999999999996	贸易 0.09999999999999998
RESULT	兴衰.v 2101003007	兴衰 1.0	兴亡 0.9	盛衰 0.8	繁荣 0.7	起落 0.6	兴废 0.5	发展 0.3999999999999999	兴盛 0.29999999999999993	起伏 0.19999999999999996	兴旺 0.09999999999999998
RESULT	经商.v 2101003012	经营 1.0	经商 0.9	事业 0.8	商业 0.7	商务 0.6	生意 0.5	企业 0.3999999999999999	营业 0.29999999999999993	商海 0.19999999999999996	事务 0.09999999999999998
RESULT	经商.v 2101004008	经商 1.0	做事 0.9	商业 0.8	商务 0.7	生意 0.6	从商 0.5	办事 0.3999999999999999	贸易 0.29999999999999993	务农 0.19999999999999996	工商 0.09999999999999998
RESULT	经商.v 2101014022	经商 1.0	商务 0.9	贸易 0.8	商贸 0.7	商业 0.6	营业 0.5	商人 0.3999999999999999	营商 0.29999999999999993	经营 0.19999999999999996	商海 0.09999999999999998
RESULT	经商.v 2101029018	经营 1.0	生意 0.9	经商 0.8	做事 0.7	立业 0.6	商业 0.5	商海 0.3999999999999999	商务 0.29999999999999993	生存 0.19999999999999996	为人 0.09999999999999998
RESULT	得失.v 2101003014	成败 1.0	失败 0.9	盈亏 0.8	利弊 0.7	胜负 0.6	荣辱 0.5	收获 0.3999999999999999	胜败 0.29999999999999993	损失 0.19999999999999996	起伏 0.09999999999999998
RESULT	来.v 2101003016	来 1.0	去 0.9	到 0.8	说起 0.7	讨论 0.6	讲讲 0.5	拿 0.3999999999999999	聊聊 0.29999999999999993	就 0.19999999999999996	而 0.09999999999999998
RESULT	来.v 2101015032	去 1.0	过来 0.9	赶来 0.8	前来 0.7	往来 0.6	进货 0.5	聚会 0.3999999999999999	赴约 0.29999999999999993	归来 0.19999999999999996	回来 0.09999999999999998
RESULT	来.v 2102005002	来 1.0	以来 0.9	里 0.8	前 0.7	始 0.6	期间 0.5	间 0.3999999999999999	度 0.29999999999999993	下来 0.19999999999999996	向来 0.09999999999999998
RESULT	话题.v 2101003020	问题 1.0	话题 0.9	题目 0.8	议题 0.7	主题 0.6	论题 0.5	事情 0.3999999999999999	题材 0.29999999999999993	课题 0.19999999999999996	关键 0.09999999999999998
RESULT	很.v 2101003021	很 1.0	非常 0.9	特别 0.8	颇 0.7	十分 0.6	挺 0.5	相当 0.3999999999999999	比较 0.29999999999999993	蛮 0.19999999999999996	更 0.09999999999999998
RESULT	有.v 2101003022	有 1.0	值得 0.9	富有 0.8	具有 0.7	重要 0.6	饶有 0.5	显著 0.3999999999999999	不错 0.29999999999999993	珍贵 0.19999999999999996	合适 0.09999999999999998
RESULT	有.v 2101004010	实有 1.0	有 0.9	具 0.8	富有 0.7	拥有 0.6	存 0.5	颇具 0.3999999999999999	怀有 0.29999999999999993	无 0.19999999999999996	很 0.09999999999999998
RESULT	有.v 2101006017	有 1.0	具有 0.9	拥有 0.8	占有 0.7	负有 0.6	确有 0.5	存有 0.3999999999999999	可谓 0.29999999999999993	含有 0.19999999999999996	实有 0.09999999999999998
RESULT	有.v 2101014021	具有 1.0	有 0.9	拥有 0.8	存有 0.7	带有 0.6	享有 0.5	富有 0.3999999999999999	兼有 0.29999999999999993	持有 0.19999999999999996	已有 0.09999999999999998
RESULT	有.v 2101033002	有 1.0	拥有 0.9	设有 0.8	具有 0.7	建有 0.6	存有 0.5	持有 0.3999999999999999	还有 0.29999999999999993	确有 0.19999999999999996	保有 0.09999999999999998
RESULT	有.v 2101033026	具有 1.0	是 0.9	拥有 0.8	存有 0.7	带有 0.6	伴有 0.5	没有 0.3999999999999999	含有 0.29999999999999993	装有 0.19999999999999996	抱有 0.09999999999999998
RESULT	有.v 2101038003	有 1.0	具有 0.9	设有 0.8	拥有 0.7	是 0.6	存有 0.5	持有 0.3999999999999999	配有 0.29999999999999993	带有 0.19999999999999996	确有 0.09999999999999998
RESULT	有.v 2101040005	有 1.0	既有 0.9	具有 0.8	拥有 0.7	富有 0.6	兼有 0.5	略有 0.3999999999999999	怀有 0.29999999999999993	享有 0.19999999999999996	存有 0.09999999999999998
RESULT	有.v 2102005072	具有 1.0	拥有 0.9	设有 0.8	存有 0.7	持有 0.6	还有 0.5	现有 0.3999999999999999	是 0.29999999999999993	带有 0.19999999999999996	富有 0.09999999999999998
RESULT	有.v 2103007002	有 1.0	还有 0.9	共有 0.8	已有 0.7	存有 0.6	另有 0.5	只有 0.3999999999999999	内有 0.29999999999999993	是 0.19999999999999996	具有 0.09999999999999998
RESULT	有.v 2103011009	有 1.0	共有 0.9	只有 0.8	常有 0.7	存有 0.6	还有 0.5	具有 0.3999999999999999	一般 0.29999999999999993	拥有 0.19999999999999996	可有 0.09999999999999998
RESULT	有.v 2103016004	有 1.0	具有 0.9	存有 0.8	拥有 0.7	设有 0.6	会 0.5	备有 0.3999999999999999	可 0.29999999999999993	装有 0.19999999999999996	持有 0.09999999999999998
RESULT	有.v 2104012019	有 1.0	达 0.9	具有 0.8	拥有 0.7	多达 0.6	约 0.5	只有 0.3999999999999999	是 0.29999999999999993	共有 0.19999999999999996	存有 0.09999999999999998
RESULT	有.v 2105006005	有 1.0	经 0.9	是 0.8	达 0.7	具 0.6	存 0.5	近 0.3999999999999999	拥有 0.29999999999999993	长达 0.19999999999999996	快 0.09999999999999998
RESULT	有.v 2107001003	有 1.0	拥有 0.9	共有 0.8	已有 0.7	具有 0.6	现有 0.5	还有 0.3999999999999999	存有 0.29999999999999993	设有 0.19999999999999996	内有 0.09999999999999998
RESULT	意义.v 2101003023	意义 1.0	趣味 0.9	价值 0.8	涵义 0.7	说服 0.6	益 0.5	讲究 0.3999999999999999	用 0.29999999999999993	意味 0.19999999999999996	效益 0.09999999999999998
RESULT	人文.v 2101004001	人文 1.0	历史 0.9	自然 0.8	文化 0.7	天文 0.6	生态 0.5	气候 0.3999999999999999	物产 0.29999999999999993	山水 0.19999999999999996	风景 0.09999999999999998
RESULT	地理.v 2101004002	地理 1.0	历史 0.9	景观 0.8	环境 0.7	气候 0.6	条件 0.5	地貌 0.3999999999999999	自然 0.29999999999999993	气息 0.19999999999999996	资源 0.09999999999999998
RESULT	原因.v 2101004004	因素 1.0	缘故 0.9	原因 0.8	关系 0.7	缘由 0.6	原故 0.5	影响 0.3999999999999999	成因 0.29999999999999993	基础 0.19999999999999996	因 0.09999999999999998
RESULT	原因.v 2102014017	缘由 1.0	原因 0.9	理由 0.8	缘故 0.7	原由 0.6	问题 0.5	成因 0.3999999999999999	原故 0.29999999999999993	根源 0.19999999999999996	原委 0.09999999999999998
RESULT	原因.v 2104008006	原因 1.0	主因 0.9	根源 0.8	因素 0.7	起因 0.6	缘故 0.5	主要 0.3999999999999999	缘由 0.29999999999999993	原故 0.19999999999999996	根本 0.09999999999999998
RESULT	确.v 2101004009	颇具 1.0	很 0.9	确 0.8	实 0.7	具 0.6	尚 0.5	自 0.3999999999999999	起来 0.29999999999999993	非常 0.19999999999999996	明显 0.09999999999999998
RESULT	优势.v 2101004011	优势 1.0	特色 0.9	优点 0.8	潜力 0.7	特点 0.6	好处 0.5	实力 0.3999999999999999	天分 0.29999999999999993	远见 0.19999999999999996	优越 0.09999999999999998
RESULT	改革.v 2101005001	改革 1.0	革命 0.9	变革 0.8	革新 0.7	改制 0.6	转型 0.5	创制 0.3999999999999999	实施 0.29999999999999993	体制 0.19999999999999996	建设 0.09999999999999998
RESULT	当时.v 2101005005	当时 1.0	时值 0.9	时间 0.8	时期 0.7	原来 0.6	时时 0.5	那时 0.3999999999999999	原 0.29999999999999993	此时 0.19999999999999996	时机 0.09999999999999998
RESULT	属.v 2101005006	属 1.0	尚属 0.9	还是 0.8	系 0.7	是 0.6	就是 0.5	实属 0.3999999999999999	乃 0.29999999999999993	为 0.19999999999999996	处于 0.09999999999999998
RESULT	短缺.v 2101005007	短缺 1.0	紧缺 0.9	缺乏 0.8	缺失 0.7	缺口 0.6	匮乏 0.5	缺货 0.3999999999999999	缺少 0.29999999999999993	稀缺 0.19999999999999996	匮缺 0.09999999999999998
RESULT	又是.v 2101005012	又是 1.0	又 0.9	还 0.8	还是 0.7	却 0.6	们 0.5	也 0.3999999999999999	则 0.29999999999999993	就是 0.19999999999999996	却是 0.09999999999999998
RESULT	刚.v 2101005013	刚 1.0	新 0.9	才刚 0.8	正在 0.7	已经 0.6	恰好 0.5	临时 0.3999999999999999	尚未 0.29999999999999993	早就 0.19999999999999996	急于 0.09999999999999998
RESULT	撂下.v 2101005014	撂下 1.0	放下 0.9	拔下 0.8	抛下 0.7	拿起 0.6	摘下 0.5	竖起 0.3999999999999999	卸下 0.29999999999999993	落下 0.19999999999999996	挺起 0.09999999999999998
RESULT	锄头.v 2101005015	锄头 1.0	锄 0.9	犁头 0.8	斧头 0.7	石头 0.6	锄把 0.5	犁 0.3999999999999999	稻草 0.29999999999999993	犁锄 0.19999999999999996	铲子 0.09999999999999998
RESULT	缝纫机.v 2101005019	缝纫机 1.0	剪刀 0.9	裁缝机 0.8	织布机 0.7	手工 0.6	拖拉机 0.5	机器 0.3999999999999999	手机 0.29999999999999993	绣花机 0.19999999999999996	折叠机 0.09999999999999998
RESULT	火爆.v 2101005025	火爆 1.0	热闹 0.9	热火 0.8	狂热 0.7	红火 0.6	爆发 0.5	蓬勃 0.3999999999999999	热烈 0.29999999999999993	高涨 0.19999999999999996	激烈 0.09999999999999998
RESULT	掩盖.v 2101005026	掩盖 1.0	遮盖 0.9	掩埋 0.8	遮蔽 0.7	掩没 0.6	埋没 0.5	挡住 0.3999999999999999	掩饰 0.29999999999999993	淹没 0.19999999999999996	压低 0.09999999999999998
RESULT	潜在.v 2101005028	潜在 1.0	隐含 0.9	隐藏 0.8	隐隐 0.7	隐匿 0.6	内在 0.5	现在 0.3999999999999999	存在 0.29999999999999993	可能 0.19999999999999996	隐患 0.09999999999999998
RESULT	危机.v 2101005031	问题 1.0	风险 0.9	危机 0.8	难题 0.7	隐患 0.6	瓶颈 0.5	困难 0.3999999999999999	困境 0.29999999999999993	忧患 0.19999999999999996	障碍 0.09999999999999998
RESULT	萧条.v 2101006002	萧条 1.0	惨淡 0.9	亏损 0.8	低迷 0.7	停滞 0.6	饱和 0.5	停顿 0.3999999999999999	衰退 0.29999999999999993	大跌 0.19999999999999996	萎缩 0.09999999999999998
RESULT	重新.v 2101006007	重新 1.0	再度 0.9	再次 0.8	又 0.7	重 0.6	重回 0.5	开始 0.3999999999999999	恢复 0.29999999999999993	重重 0.19999999999999996	重复 0.09999999999999998
RESULT	重新.v 2102012010	重新 1.0	再 0.9	又 0.8	再次 0.7	重 0.6	再度 0.5	重复 0.3999999999999999	重启 0.29999999999999993	新 0.19999999999999996	重回 0.09999999999999998
RESULT	重新.v 2103024020	重新 1.0	再次 0.9	重 0.8	再 0.7	再度 0.6	复 0.5	继续 0.3999999999999999	重复 0.29999999999999993	翻新 0.19999999999999996	新 0.09999999999999998
RESULT	审视.v 2101006008	审视 1.0	回顾 0.9	回望 0.8	回首 0.7	检视 0.6	回溯 0.5	看 0.3999999999999999	回眸 0.29999999999999993	检讨 0.19999999999999996	回想 0.09999999999999998
RESULT	认识.v 2101006012	认识 1.0	知道 0.9	意识 0.8	明白 0.7	觉察 0.6	理解 0.5	发觉 0.3999999999999999	觉悟 0.29999999999999993	了解 0.19999999999999996	深感 0.09999999999999998
RESULT	认识.v 2101008009	认识 1.0	认知 0.9	了解 0.8	认同 0.7	理解 0.6	意识 0.5	知晓 0.3999999999999999	感知 0.29999999999999993	领悟 0.19999999999999996	见解 0.09999999999999998
RESULT	字.v 2101006016	字 1.0	词 0.9	话 0.8	事 0.7	项 0.6	点 0.5	者 0.3999999999999999	语 0.29999999999999993	题 0.19999999999999996	十字 0.09999999999999998
RESULT	字.v 2101029013	字 1.0	词 0.9	人字 0.8	位 0.7	话 0.6	者 0.5	言 0.3999999999999999	名字 0.29999999999999993	项 0.19999999999999996	点 0.09999999999999998
RESULT	重.v 2101006021	力 1.0	巨 0.9	大 0.8	外 0.7	际 0.6	责任 0.5	主 0.3999999999999999	用 0.29999999999999993	一 0.19999999999999996	意 0.09999999999999998
RESULT	党委.v 2101007003	党委 1.0	政委 0.9	党政 0.8	委 0.7	党组 0.6	党务 0.5	党纪 0.3999999999999999	领导 0.29999999999999993	政府 0.19999999999999996	县委 0.09999999999999998
