RESULT	增救.v 2100005001	增援 1.0	增收 0.9	增补 0.8	增修 0.7	增给 0.6	增强 0.5	增生 0.3999999999999999	增加 0.29999999999999993
RESULT	增救.v 2100006014	增援 1.0	增补 0.9	增加 0.8	增强 0.7	增给 0.6	增修 0.5	增收 0.3999999999999999	增添 0.29999999999999993	增上 0.19999999999999996
RESULT	质量.v 2101002011	质量 1.0	品质 0.9	素质 0.8	品牌 0.7	产品 0.6	信誉 0.5	名牌 0.3999999999999999	水质 0.29999999999999993	品位 0.19999999999999996	质素 0.09999999999999998
RESULT	质量.v 2101003018	质量 1.0	品质 0.9	价格 0.8	管理 0.7	品牌 0.6	效益 0.5	优质 0.3999999999999999	效率 0.29999999999999993	工艺 0.19999999999999996	信誉 0.09999999999999998
RESULT	质量.v 2101005030	质量 1.0	品质 0.9	产品 0.8	产量 0.7	品牌 0.6	素质 0.5	效率 0.3999999999999999	品德 0.29999999999999993	量产 0.19999999999999996	数量 0.09999999999999998
RESULT	质量.v 2101006014	质量 1.0	品质 0.9	品牌 0.8	产品 0.7	质素 0.6	素质 0.5	效率 0.3999999999999999	产量 0.29999999999999993	质检 0.19999999999999996	品位 0.09999999999999998
RESULT	质量.v 2101007011	质量 1.0	品质 0.9	产品 0.8	品牌 0.7	质检 0.6	工艺 0.5	技术 0.3999999999999999	规格 0.29999999999999993	制造 0.19999999999999996	生产 0.09999999999999998
RESULT	质量.v 2101007022	品质 1.0	品牌 0.9	产品 0.8	产量 0.7	精品 0.6	优质 0.5	素质 0.3999999999999999	科技 0.29999999999999993	名牌 0.19999999999999996	工艺 0.09999999999999998
RESULT	质量.v 2101008004	质量 1.0	品质 0.9	产品 0.8	质素 0.7	品牌 0.6	质 0.5	精品 0.3999999999999999	质地 0.29999999999999993	素质 0.19999999999999996	工艺 0.09999999999999998
RESULT	质量.v 2101009008	质量 1.0	品质 0.9	量 0.8	产品 0.7	品牌 0.6	数量 0.5	量价 0.3999999999999999	素质 0.29999999999999993	产量 0.19999999999999996	物质 0.09999999999999998
RESULT	质量.v 2101013003	质量 1.0	品质 0.9	品牌 0.8	素质 0.7	质素 0.6	产品 0.5	信誉 0.3999999999999999	量价 0.29999999999999993	水平 0.19999999999999996	质地 0.09999999999999998
RESULT	质量.v 2101019007	质量 1.0	品质 0.9	品牌 0.8	品位 0.7	品德 0.6	量化 0.5	品味 0.3999999999999999	水平 0.29999999999999993	量值 0.19999999999999996	名牌 0.09999999999999998
RESULT	质量.v 2101027020	质量 1.0	品质 0.9	品牌 0.8	信誉 0.7	质 0.6	产品 0.5	品种 0.3999999999999999	正品 0.29999999999999993	价格 0.19999999999999996	素质 0.09999999999999998
RESULT	质量.v 2101029010	质量 1.0	品质 0.9	素质 0.8	品牌 0.7	量量 0.6	质素 0.5	量值 0.3999999999999999	优质 0.29999999999999993	品位 0.19999999999999996	量化 0.09999999999999998
RESULT	质量.v 2101031011	质量 1.0	品牌 0.9	品质 0.8	产品 0.7	质素 0.6	效益 0.5	素质 0.3999999999999999	信誉 0.29999999999999993	管理 0.19999999999999996	产量 0.09999999999999998
RESULT	质量.v 2101039007	质量 1.0	品质 0.9	质检 0.8	素质 0.7	质素 0.6	优质 0.5	品牌 0.3999999999999999	求质 0.29999999999999993	质优 0.19999999999999996	质保 0.09999999999999998
RESULT	质量.v 2101039016	品牌 1.0	品质 0.9	产量 0.8	产品 0.7	素质 0.6	精品 0.5	优质 0.3999999999999999	信誉 0.29999999999999993	品位 0.19999999999999996	科技 0.09999999999999998
RESULT	质量.v 2101041013	质量 1.0	质检 0.9	品质 0.8	生产 0.7	质保 0.6	质控 0.5	产品 0.3999999999999999	质优 0.29999999999999993	制造 0.19999999999999996	质素 0.09999999999999998
RESULT	质量.v 2101042006	质量 1.0	品质 0.9	素质 0.8	工艺 0.7	产品 0.6	质素 0.5	质地 0.3999999999999999	水平 0.29999999999999993	效果 0.19999999999999996	性能 0.09999999999999998
RESULT	质量.v 2101045019	质量 1.0	品质 0.9	品牌 0.8	产品 0.7	价格 0.6	品位 0.5	效益 0.3999999999999999	信誉 0.29999999999999993	产量 0.19999999999999996	商品 0.09999999999999998
RESULT	质量.v 2102001007	质量 1.0	素质 0.9	安全 0.8	精度 0.7	质素 0.6	水平 0.5	优质 0.3999999999999999	性能 0.29999999999999993	力量 0.19999999999999996	档次 0.09999999999999998
RESULT	质量.v 2102002016	品质 1.0	质量 0.9	素质 0.8	质素 0.7	水平 0.6	品格 0.5	质地 0.3999999999999999	精神 0.29999999999999993	品德 0.19999999999999996	品位 0.09999999999999998
RESULT	质量.v 2102003010	质量 1.0	素质 0.9	质素 0.8	优质 0.7	安全 0.6	性能 0.5	质检 0.3999999999999999	质 0.29999999999999993	保质 0.19999999999999996	力量 0.09999999999999998
RESULT	质量.v 2102005009	质量 1.0	素质 0.9	品质 0.8	质素 0.7	品德 0.6	品牌 0.5	质检 0.3999999999999999	产品 0.29999999999999993	技术 0.19999999999999996	科学 0.09999999999999998
RESULT	质量.v 2102005019	品质 1.0	产量 0.9	素质 0.8	产品 0.7	安全 0.6	品牌 0.5	优质 0.3999999999999999	科技 0.29999999999999993	信誉 0.19999999999999996	效益 0.09999999999999998
RESULT	质量.v 2102006006	质量 1.0	安全 0.9	素质 0.8	量量 0.7	性能 0.6	质检 0.5	生产 0.3999999999999999	瑕疵 0.29999999999999993	缺陷 0.19999999999999996	出品 0.09999999999999998
RESULT	质量.v 2102007010	质量 1.0	品质 0.9	素质 0.8	品牌 0.7	品德 0.6	产品 0.5	质素 0.3999999999999999	安全 0.29999999999999993	精神 0.19999999999999996	标准 0.09999999999999998
RESULT	质量.v 2102008030	品质 1.0	素质 0.9	数量 0.8	安全 0.7	物质 0.6	成品 0.5	制度 0.3999999999999999	材质 0.29999999999999993	标准 0.19999999999999996	品德 0.09999999999999998
RESULT	质量.v 2102008040	成品 1.0	安全 0.9	水平 0.8	标准 0.7	素质 0.6	数量 0.5	性能 0.3999999999999999	效益 0.29999999999999993	精度 0.19999999999999996	效果 0.09999999999999998
RESULT	质量.v 2102009008	质量 1.0	质检 0.9	素质 0.8	质保 0.7	安全 0.6	制造 0.5	保证 0.3999999999999999	优质 0.29999999999999993	性能 0.19999999999999996	质素 0.09999999999999998
RESULT	质量.v 2102009023	素质 1.0	性能 0.9	制造 0.8	检验 0.7	材质 0.6	优质 0.5	合格 0.3999999999999999	安全 0.29999999999999993	验收 0.19999999999999996	生产 0.09999999999999998
RESULT	质量.v 2102009029	疵点 1.0	安全 0.9	物质 0.8	材料 0.7	缺陷 0.6	生产 0.5	不良 0.3999999999999999	性能 0.29999999999999993	瑕疵 0.19999999999999996	劣质 0.09999999999999998
RESULT	质量.v 2102014014	质量 1.0	品质 0.9	产品 0.8	品牌 0.7	材料 0.6	成品 0.5	材质 0.3999999999999999	产量 0.29999999999999993	品种 0.19999999999999996	品位 0.09999999999999998
RESULT	质量.v 2102015017	质量 1.0	产品 0.9	品质 0.8	材质 0.7	性能 0.6	尺寸 0.5	技术 0.3999999999999999	工艺 0.29999999999999993	安全 0.19999999999999996	素质 0.09999999999999998
RESULT	质量.v 2102015029	品质 1.0	产品 0.9	品牌 0.8	资质 0.7	优质 0.6	安全 0.5	信誉 0.3999999999999999	检验 0.29999999999999993	性能 0.19999999999999996	达标 0.09999999999999998
RESULT	质量.v 2102016012	质量 1.0	素质 0.9	质素 0.8	安全 0.7	优质 0.6	精度 0.5	水平 0.3999999999999999	效益 0.29999999999999993	标准 0.19999999999999996	性能 0.09999999999999998
RESULT	质量.v 2104006021	质量 1.0	品质 0.9	质地 0.8	质 0.7	纯度 0.6	质素 0.5	产量 0.3999999999999999	素质 0.29999999999999993	材质 0.19999999999999996	成品 0.09999999999999998
RESULT	征文.v 2101002017	征文 1.0	征集 0.9	征稿 0.8	竞赛 0.7	作文 0.6	文章 0.5	评选 0.3999999999999999	活动 0.29999999999999993	选文 0.19999999999999996	论文 0.09999999999999998
RESULT	征文.v 2101013009	征文 1.0	征集 0.9	作文 0.8	选文 0.7	文章 0.6	征稿 0.5	论文 0.3999999999999999	推荐 0.29999999999999993	发文 0.19999999999999996	宣传 0.09999999999999998
RESULT	远房.v 2101002023	远房 1.0	旧房 0.9	长房 0.8	邻居 0.7	同房 0.6	异乡 0.5	隔壁 0.3999999999999999	异地 0.29999999999999993	远嫁 0.19999999999999996	乡下 0.09999999999999998
RESULT	舅舅.v 2101002024	舅舅 1.0	大舅 0.9	兄弟 0.8	表舅 0.7	小舅 0.6	姨 0.5	弟弟 0.3999999999999999	祖父 0.29999999999999993	哥哥 0.19999999999999996	父亲 0.09999999999999998
RESULT	聊.v 2101002029	说 1.0	聊 0.9	讲 0.8	交流 0.7	闲聊 0.6	扯 0.5	讨论 0.3999999999999999	问 0.29999999999999993	提 0.19999999999999996	道 0.09999999999999998
RESULT	觉得.v 2101003001	觉得 1.0	认为 0.9	感觉 0.8	觉着 0.7	想 0.6	以为 0.5	说 0.3999999999999999	看来 0.29999999999999993	发现 0.19999999999999996	看 0.09999999999999998
RESULT	市场.v 2101003005	市场 1.0	行业 0.9	商场 0.8	商业 0.7	产业 0.6	市面 0.5	商务 0.3999999999999999	地区 0.29999999999999993	业务 0.19999999999999996	商品 0.09999999999999998
RESULT	市场.v 2101005023	市场 1.0	市面 0.9	行业 0.8	商场 0.7	产品 0.6	产业 0.5	生意 0.3999999999999999	贸易 0.29999999999999993	批发 0.19999999999999996	面市 0.09999999999999998
RESULT	市场.v 2101006001	市场 1.0	市面 0.9	行业 0.8	商场 0.7	行情 0.6	市况 0.5	经营 0.3999999999999999	业务 0.29999999999999993	贸易 0.19999999999999996	产业 0.09999999999999998
RESULT	市场.v 2101014002	市场 1.0	商场 0.9	集市 0.8	集贸 0.7	商业 0.6	地区 0.5	批发 0.3999999999999999	商城 0.29999999999999993	菜市 0.19999999999999996	商贸 0.09999999999999998
RESULT	市场.v 2101020004	市场 1.0	地区 0.9	商场 0.8	商业 0.7	市面 0.6	行业 0.5	商品 0.3999999999999999	区域 0.29999999999999993	产业 0.19999999999999996	商贸 0.09999999999999998
RESULT	市场.v 2101022002	市场 1.0	地区 0.9	集市 0.8	市面 0.7	商场 0.6	区 0.5	市 0.3999999999999999	区域 0.29999999999999993	镇 0.19999999999999996	道 0.09999999999999998
RESULT	市场.v 2101024001	市场 1.0	商场 0.9	地方 0.8	地区 0.7	集市 0.6	市 0.5	商业 0.3999999999999999	街 0.29999999999999993	地段 0.19999999999999996	商店 0.09999999999999998
RESULT	市场.v 2101027005	市场 1.0	商场 0.9	杂货 0.8	集市 0.7	超市 0.6	百货 0.5	批发 0.3999999999999999	商品 0.29999999999999993	商店 0.19999999999999996	菜市 0.09999999999999998
RESULT	市场.v 2101044001	市场 1.0	商场 0.9	地方 0.8	地区 0.7	市面 0.6	商业 0.5	行业 0.3999999999999999	商圈 0.29999999999999993	商贸 0.19999999999999996	商务 0.09999999999999998
RESULT	市场.v 2101045002	市场 1.0	商场 0.9	地区 0.8	行业 0.7	商业 0.6	商务 0.5	市面 0.3999999999999999	商贸 0.29999999999999993	集市 0.19999999999999996	产业 0.09999999999999998
RESULT	市场.v 2101045021	行业 1.0	商场 0.9	企业 0.8	商品 0.7	产业 0.6	产品 0.5	品牌 0.3999999999999999	竞争 0.29999999999999993	行情 0.19999999999999996	商家 0.09999999999999998
RESULT	市场.v 2102003020	市场 1.0	市面 0.9	行业 0.8	商场 0.7	竞争 0.6	世界 0.5	销售 0.3999999999999999	市 0.29999999999999993	生产 0.19999999999999996	市道 0.09999999999999998
RESULT	市场.v 2104003005	市场 1.0	市面 0.9	市 0.8	商场 0.7	市况 0.6	大市 0.5	场 0.3999999999999999	市区 0.29999999999999993	市售 0.19999999999999996	市上 0.09999999999999998
RESULT	兴衰.v 2101003007	兴衰 1.0	兴亡 0.9	盛衰 0.8	繁荣 0.7	起落 0.6	发展 0.5	兴废 0.3999999999999999	兴盛 0.29999999999999993	兴旺 0.19999999999999996	崛起 0.09999999999999998
RESULT	经商.v 2101003012	经营 1.0	经商 0.9	商业 0.8	事业 0.7	商务 0.6	生意 0.5	营业 0.3999999999999999	企业 0.29999999999999993	商海 0.19999999999999996	工商 0.09999999999999998
RESULT	经商.v 2101004008	经商 1.0	做事 0.9	商业 0.8	商务 0.7	务农 0.6	经营 0.5	办事 0.3999999999999999	生意 0.29999999999999993	从商 0.19999999999999996	贸易 0.09999999999999998
RESULT	经商.v 2101014022	经商 1.0	贸易 0.9	商务 0.8	商贸 0.7	商业 0.6	营业 0.5	经营 0.3999999999999999	商人 0.29999999999999993	营商 0.19999999999999996	商贾 0.09999999999999998
RESULT	经商.v 2101029018	经营 1.0	生意 0.9	经商 0.8	立业 0.7	做事 0.6	商业 0.5	商海 0.3999999999999999	商务 0.29999999999999993	生存 0.19999999999999996	成功 0.09999999999999998
RESULT	得失.v 2101003014	成败 1.0	失败 0.9	盈亏 0.8	利弊 0.7	收获 0.6	胜败 0.5	荣辱 0.3999999999999999	功过 0.29999999999999993	损失 0.19999999999999996	胜负 0.09999999999999998
RESULT	来.v 2101003016	来 1.0	去 0.9	到 0.8	说起 0.7	看来 0.6	讲起 0.5	讨论 0.3999999999999999	而 0.29999999999999993	要 0.19999999999999996	就 0.09999999999999998
RESULT	来.v 2101015032	去 1.0	过来 0.9	前来 0.8	赶来 0.7	往来 0.6	进货 0.5	归来 0.3999999999999999	聚会 0.29999999999999993	找来 0.19999999999999996	回来 0.09999999999999998
RESULT	来.v 2102005002	来 1.0	以来 0.9	里 0.8	前 0.7	始 0.6	期间 0.5	间 0.3999999999999999	度 0.29999999999999993	下来 0.19999999999999996	向来 0.09999999999999998
RESULT	话题.v 2101003020	话题 1.0	问题 0.9	题目 0.8	议题 0.7	主题 0.6	论题 0.5	事情 0.3999999999999999	题材 0.29999999999999993	课题 0.19999999999999996	关键 0.09999999999999998
RESULT	很.v 2101003021	很 1.0	非常 0.9	特别 0.8	颇 0.7	十分 0.6	挺 0.5	相当 0.3999999999999999	比较 0.29999999999999993	极 0.19999999999999996	蛮 0.09999999999999998
RESULT	有.v 2101003022	有 1.0	值得 0.9	富有 0.8	具有 0.7	重要 0.6	饶有 0.5	不错 0.3999999999999999	珍贵 0.29999999999999993	显著 0.19999999999999996	丰富 0.09999999999999998
RESULT	有.v 2101004010	有着 1.0	实有 0.9	具 0.8	富有 0.7	拥有 0.6	存在 0.5	颇具 0.3999999999999999	极具 0.29999999999999993	无 0.19999999999999996	怀有 0.09999999999999998
RESULT	有.v 2101006017	有 1.0	具有 0.9	占有 0.8	拥有 0.7	确有 0.6	负有 0.5	含有 0.3999999999999999	存有 0.29999999999999993	可谓 0.19999999999999996	实有 0.09999999999999998
RESULT	有.v 2101014021	有 1.0	具有 0.9	拥有 0.8	存有 0.7	带有 0.6	富有 0.5	享有 0.3999999999999999	兼有 0.29999999999999993	持有 0.19999999999999996	已有 0.09999999999999998
RESULT	有.v 2101033002	有 1.0	拥有 0.9	具有 0.8	设有 0.7	建有 0.6	存有 0.5	还有 0.3999999999999999	持有 0.29999999999999993	确有 0.19999999999999996	保有 0.09999999999999998
RESULT	有.v 2101033026	具有 1.0	是 0.9	拥有 0.8	存有 0.7	带有 0.6	伴有 0.5	含有 0.3999999999999999	没有 0.29999999999999993	留有 0.19999999999999996	装有 0.09999999999999998
RESULT	有.v 2101038003	有 1.0	具有 0.9	设有 0.8	拥有 0.7	是 0.6	存有 0.5	带有 0.3999999999999999	配有 0.29999999999999993	确有 0.19999999999999996	持有 0.09999999999999998
RESULT	有.v 2101040005	有 1.0	具有 0.9	既有 0.8	拥有 0.7	富有 0.6	略有 0.5	兼有 0.3999999999999999	存有 0.29999999999999993	怀有 0.19999999999999996	享有 0.09999999999999998
RESULT	有.v 2102005072	具有 1.0	拥有 0.9	设有 0.8	存有 0.7	还有 0.6	持有 0.5	富有 0.3999999999999999	是 0.29999999999999993	带有 0.19999999999999996	现有 0.09999999999999998
RESULT	有.v 2103007002	有 1.0	还有 0.9	共有 0.8	存有 0.7	已有 0.6	另有 0.5	只有 0.3999999999999999	内有 0.29999999999999993	具有 0.19999999999999996	是 0.09999999999999998
RESULT	有.v 2103011009	有 1.0	共有 0.9	只有 0.8	常有 0.7	具有 0.6	存有 0.5	还有 0.3999999999999999	一般 0.29999999999999993	拥有 0.19999999999999996	可有 0.09999999999999998
RESULT	有.v 2103016004	有 1.0	存有 0.9	具有 0.8	拥有 0.7	设有 0.6	可 0.5	备有 0.3999999999999999	装有 0.29999999999999993	出现 0.19999999999999996	布满 0.09999999999999998
RESULT	有.v 2104012019	有 1.0	达 0.9	具有 0.8	拥有 0.7	多达 0.6	约 0.5	只有 0.3999999999999999	是 0.29999999999999993	共有 0.19999999999999996	存有 0.09999999999999998
RESULT	有.v 2105006005	有 1.0	经 0.9	是 0.8	达 0.7	具 0.6	存 0.5	拥有 0.3999999999999999	近 0.29999999999999993	长达 0.19999999999999996	年 0.09999999999999998
RESULT	有.v 2107001003	有 1.0	拥有 0.9	共有 0.8	已有 0.7	具有 0.6	现有 0.5	还有 0.3999999999999999	存有 0.29999999999999993	设有 0.19999999999999996	内有 0.09999999999999998
RESULT	意义.v 2101003023	意义 1.0	价值 0.9	趣味 0.8	涵义 0.7	益 0.6	用 0.5	讲究 0.3999999999999999	说服 0.29999999999999993	意味 0.19999999999999996	效益 0.09999999999999998
RESULT	人文.v 2101004001	人文 1.0	历史 0.9	自然 0.8	文化 0.7	天文 0.6	生态 0.5	气候 0.3999999999999999	物产 0.29999999999999993	民族 0.19999999999999996	山水 0.09999999999999998
RESULT	地理.v 2101004002	地理 1.0	历史 0.9	景观 0.8	环境 0.7	地貌 0.6	气候 0.5	气息 0.3999999999999999	条件 0.29999999999999993	地质 0.19999999999999996	资源 0.09999999999999998
RESULT	原因.v 2101004004	原因 1.0	因素 0.9	缘故 0.8	缘由 0.7	关系 0.6	原故 0.5	影响 0.3999999999999999	成因 0.29999999999999993	根源 0.19999999999999996	基础 0.09999999999999998
RESULT	原因.v 2102014017	原因 1.0	缘由 0.9	缘故 0.8	理由 0.7	成因 0.6	根源 0.5	原由 0.3999999999999999	原故 0.29999999999999993	问题 0.19999999999999996	来源 0.09999999999999998
RESULT	原因.v 2104008006	原因 1.0	主因 0.9	根源 0.8	因素 0.7	缘故 0.6	起因 0.5	缘由 0.3999999999999999	主要 0.29999999999999993	原故 0.19999999999999996	源头 0.09999999999999998
RESULT	确.v 2101004009	颇具 1.0	很 0.9	具 0.8	确 0.7	极具 0.6	非常 0.5	自 0.3999999999999999	实 0.29999999999999993	明显 0.19999999999999996	十分 0.09999999999999998
RESULT	优势.v 2101004011	特色 1.0	优势 0.9	特点 0.8	潜力 0.7	优点 0.6	独到 0.5	天分 0.3999999999999999	实力 0.29999999999999993	所长 0.19999999999999996	天壤 0.09999999999999998
RESULT	改革.v 2101005001	改革 1.0	革命 0.9	革新 0.8	变革 0.7	改制 0.6	转型 0.5	创制 0.3999999999999999	兴革 0.29999999999999993	体制 0.19999999999999996	调整 0.09999999999999998
RESULT	当时.v 2101005005	当时 1.0	时值 0.9	时期 0.8	原来 0.7	那时 0.6	时间 0.5	时时 0.3999999999999999	原 0.29999999999999993	此时 0.19999999999999996	由于 0.09999999999999998
RESULT	属.v 2101005006	属 1.0	尚属 0.9	还是 0.8	是 0.7	系 0.6	乃 0.5	实属 0.3999999999999999	就是 0.29999999999999993	为 0.19999999999999996	归属 0.09999999999999998
RESULT	短缺.v 2101005007	短缺 1.0	紧缺 0.9	缺乏 0.8	匮乏 0.7	缺失 0.6	缺少 0.5	缺口 0.3999999999999999	稀缺 0.29999999999999993	缺货 0.19999999999999996	缺陷 0.09999999999999998
RESULT	又是.v 2101005012	又是 1.0	又 0.9	还 0.8	还是 0.7	却 0.6	也 0.5	们 0.3999999999999999	则 0.29999999999999993	更是 0.19999999999999996	亦 0.09999999999999998
RESULT	刚.v 2101005013	刚 1.0	新 0.9	才刚 0.8	正在 0.7	已经 0.6	恰好 0.5	尚未 0.3999999999999999	临时 0.29999999999999993	急忙 0.19999999999999996	骤然 0.09999999999999998
RESULT	撂下.v 2101005014	撂下 1.0	放下 0.9	拔下 0.8	抛下 0.7	拿下 0.6	落下 0.5	竖起 0.3999999999999999	扛下 0.29999999999999993	摘下 0.19999999999999996	拿起 0.09999999999999998
RESULT	锄头.v 2101005015	锄头 1.0	锄 0.9	斧头 0.8	犁头 0.7	锄把 0.6	犁 0.5	石头 0.3999999999999999	犁锄 0.29999999999999993	稻草 0.19999999999999996	耕耘 0.09999999999999998
RESULT	缝纫机.v 2101005019	缝纫机 1.0	裁缝机 0.9	剪刀 0.8	织布机 0.7	手工 0.6	手机 0.5	纺织机 0.3999999999999999	绣花机 0.29999999999999993	机器 0.19999999999999996	织机 0.09999999999999998
RESULT	火爆.v 2101005025	火爆 1.0	热闹 0.9	红火 0.8	热火 0.7	狂热 0.6	爆发 0.5	蓬勃 0.3999999999999999	热销 0.29999999999999993	热烈 0.19999999999999996	激烈 0.09999999999999998
RESULT	掩盖.v 2101005026	掩盖 1.0	遮盖 0.9	遮蔽 0.8	掩埋 0.7	掩没 0.6	挡住 0.5	埋没 0.3999999999999999	打破 0.29999999999999993	掩饰 0.19999999999999996	盖住 0.09999999999999998
RESULT	潜在.v 2101005028	潜在 1.0	隐含 0.9	隐藏 0.8	存在 0.7	现在 0.6	内在 0.5	隐隐 0.3999999999999999	隐匿 0.29999999999999993	可能 0.19999999999999996	蕴含 0.09999999999999998
RESULT	危机.v 2101005031	问题 1.0	危机 0.9	风险 0.8	隐患 0.7	难题 0.6	困境 0.5	瓶颈 0.3999999999999999	困难 0.29999999999999993	危害 0.19999999999999996	危险 0.09999999999999998
RESULT	萧条.v 2101006002	萧条 1.0	惨淡 0.9	停滞 0.8	低迷 0.7	亏损 0.6	停顿 0.5	饱和 0.3999999999999999	衰退 0.29999999999999993	萎缩 0.19999999999999996	倒闭 0.09999999999999998
RESULT	重新.v 2101006007	重新 1.0	再度 0.9	再次 0.8	又 0.7	重 0.6	重回 0.5	开始 0.3999999999999999	重重 0.29999999999999993	恢复 0.19999999999999996	重复 0.09999999999999998
RESULT	重新.v 2102012010	重新 1.0	再 0.9	再次 0.8	重 0.7	又 0.6	再度 0.5	重复 0.3999999999999999	重启 0.29999999999999993	新 0.19999999999999996	重回 0.09999999999999998
RESULT	重新.v 2103024020	重新 1.0	再次 0.9	重 0.8	再 0.7	重复 0.6	再度 0.5	复 0.3999999999999999	继续 0.29999999999999993	新 0.19999999999999996	接续 0.09999999999999998
RESULT	审视.v 2101006008	审视 1.0	回顾 0.9	回望 0.8	检视 0.7	回首 0.6	回溯 0.5	看 0.3999999999999999	回想 0.29999999999999993	回眸 0.19999999999999996	检讨 0.09999999999999998
RESULT	认识.v 2101006012	认识 1.0	意识 0.9	知道 0.8	明白 0.7	了解 0.6	发现 0.5	感觉 0.3999999999999999	理解 0.29999999999999993	深感 0.19999999999999996	觉得 0.09999999999999998
RESULT	认识.v 2101008009	认识 1.0	认知 0.9	了解 0.8	意识 0.7	理解 0.6	认同 0.5	感知 0.3999999999999999	知晓 0.29999999999999993	领会 0.19999999999999996	见解 0.09999999999999998
RESULT	字.v 2101006016	字 1.0	词 0.9	话 0.8	事 0.7	项 0.6	点 0.5	者 0.3999999999999999	语 0.29999999999999993	位 0.19999999999999996	题 0.09999999999999998
RESULT	字.v 2101029013	字 1.0	词 0.9	人 0.8	位 0.7	话 0.6	者 0.5	项 0.3999999999999999	言 0.29999999999999993	十字 0.19999999999999996	点 0.09999999999999998
RESULT	重.v 2101006021	力 1.0	巨 0.9	大 0.8	外 0.7	际 0.6	主 0.5	用 0.3999999999999999	责任 0.29999999999999993	值 0.19999999999999996	意义 0.09999999999999998
RESULT	党委.v 2101007003	党委 1.0	政委 0.9	党政 0.8	委 0.7	党组 0.6	县委 0.5	党务 0.3999999999999999	领导 0.29999999999999993	党校 0.19999999999999996	党纪 0.09999999999999998
