RESULT	增救.v 2100005001	拯救 1.0	挽救 0.9	救助 0.8	营救 0.7	援救 0.6	搭救 0.5	救援 0.29999999999999993	抢 0.19999999999999996	铜铁0 -1	铜铁1 -2
RESULT	质量.v 2101027020	品质 1.0	货物 0.9	品牌 0.8	品种 0.7	品类 0.6	品格 0.5	品质保证 0.3999999999999999	 0.29999999999999993	铜铁0 -1	铜铁1 -2
RESULT	质量.v 2101029010	品质 1.0	质地 0.9	质素 0.8	特性 0.7	性能 0.6	标准 0.5	等级 0.3999999999999999	铜铁0 -1	铜铁1 -2	铜铁2 -3
RESULT	质量.v 2101031011	质检 1.0	质疑 0.9	质量控制 0.8	质量保证 0.7	质量检查 0.6	质 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	质量.v 2101039007	品质 1.0	质素 0.9	质地 0.8	质量控制 0.7	质量保证 0.6	质量标准 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	质量.v 2101039016	品质 1.0	质素 0.9	质地 0.8	质量控制 0.7	质量保证 0.6	质量标准 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	质量.v 2101041013	品质 1.0	质素 0.9	质地 0.8	质量控制 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	质量.v 2101042006	品质 1.0	质地 0.9	品牌 0.8	品种 0.7	品类 0.6	品格 0.5	品位 0.3999999999999999	品味 0.29999999999999993	铜铁0 -1	铜铁1 -2
RESULT	质量.v 2101045019	品质 1.0	特性 0.9	性能 0.8	质地 0.7	品种 0.6	品牌 0.5	品类 0.3999999999999999	质料 0.29999999999999993	 0.19999999999999996	铜铁0 -1
RESULT	质量.v 2102001007	品质 1.0	质素 0.9	质地 0.8	质数 0.7	质量指标 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	质量.v 2102002016	价值 1.0	价值观 0.9	价值观念 0.8	价值标准 0.7	价值系统 0.6	 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	质量.v 2102003010	质量可以替换为质素 1.0	品质 0.9	质地 0.8	性能 0.7	特性等 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	质量.v 2102005009	品质 1.0	品牌 0.9	质地 0.8	质量控制 0.7	质量保证 0.6	质量标准 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	质量.v 2102005019	品质 1.0	品牌 0.9	质地 0.8	质量控制 0.7	质量保证 0.6	质量标准 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	质量.v 2102006006	质量可以替换为品质 1.0	质地 0.9	质量标准等 0.8	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6	铜铁6 -7
RESULT	质量.v 2102007010	品质 1.0	标准 0.9	质量控制 0.8	质量保证 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	质量.v 2102008030	品质 1.0	质素 0.9	质地 0.8	品格 0.7	品位 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	质量.v 2102008040	品质 1.0	质素 0.9	质地 0.8	品格 0.7	品位 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	质量.v 2102009008	品质 1.0	质素 0.9	质量控制 0.8	质量保证 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	质量.v 2102009023	品质 1.0	质素 0.9	质量控制 0.8	质量保证 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	质量.v 2102009029	品质 1.0	质素 0.9	质量控制 0.8	质量保证 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	质量.v 2102014014	质量可以替换为品质 1.0	质地 0.9	质素或性能 0.8	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6	铜铁6 -7
RESULT	质量.v 2102015017	品质 1.0	品牌 0.9	质地 0.8	品种 0.7	质量标准 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	质量.v 2102015029	品质 1.0	品牌 0.9	质地 0.8	品种 0.7	质量标准 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	质量.v 2102016012	品质 1.0	质素 0.9	质地 0.8	性能 0.7	品牌 0.6	品类 0.5	品种 0.3999999999999999	品格 0.29999999999999993	铜铁0 -1	铜铁1 -2
RESULT	质量.v 2104006021	品质 1.0	质地 0.9	质素 0.8	品级 0.7	品格 0.6	品位 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	征文.v 2101002017	比赛 1.0	征集 0.9	征稿 0.8	征求 0.7	征文活动 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	征文.v 2101013009	文章 1.0	作文 0.9	论文 0.8	散文 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	远房.v 2101002023	远戚 1.0	远房亲戚 0.9	远亲 0.8	远亲家属 0.7	远亲长辈 0.6	远亲戚属 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	舅舅.v 2101002024	表兄 1.0	叔叔 0.9	伯伯 0.8	姑父 0.7	姨父 0.6	大伯 0.5	大姨 0.3999999999999999	大舅 0.29999999999999993	大姑 0.19999999999999996	大婶 0.09999999999999998	 0.0
RESULT	聊.v 2101002029	谈 1.0	谈论 0.9	交谈 0.8	聆听 0.7	倾诉 0.6	倾吐 0.5	讨论 0.3999999999999999	议论 0.29999999999999993	 0.19999999999999996	铜铁0 -1
RESULT	觉得.v 2101003001	认为 1.0	认识 0.9	认知 0.8	感觉 0.7	感受 0.6	认定 0.5	认真考 0.29999999999999993	铜铁0 -1	铜铁1 -2	铜铁2 -3
RESULT	市场.v 2101003005	商店 1.0	商场 0.9	市集 0.8	集市 0.7	商城 0.6	商业中心 0.5	购物中心等 0.3999999999999999	铜铁0 -1	铜铁1 -2	铜铁2 -3
RESULT	市场.v 2101005023	商品流通 1.0	贸易 0.9	交易 0.8	消费 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	市场.v 2101006001	市值 1.0	市面 0.9	市场行情 0.8	市价 0.7	市场价格 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	市场.v 2101014002	商场 1.0	市集 0.9	集市 0.8	商城 0.7	购物中心 0.6	购物广场 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	市场.v 2101020004	商场 1.0	购物中心 0.9	集市 0.8	市集 0.7	商城 0.6	超市 0.5	商店 0.3999999999999999	商业街 0.29999999999999993	铜铁0 -1	铜铁1 -2
RESULT	市场.v 2101022002	商场 1.0	市面 0.9	集市 0.8	市集 0.7	商城 0.6	商店 0.5	商行 0.3999999999999999	商业中心 0.29999999999999993	 0.19999999999999996	铜铁0 -1
RESULT	市场.v 2101024001	商场 1.0	市集 0.9	集市 0.8	商城 0.7	商店 0.6	商铺 0.5	商行 0.3999999999999999	商舖 0.29999999999999993	 0.19999999999999996	铜铁0 -1
RESULT	市场.v 2101027005	商场 1.0	超市 0.9	集市 0.8	市集 0.7	商城 0.6	商店 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	市场.v 2101044001	商场 1.0	市集 0.9	集市 0.8	商城 0.7	商店 0.6	商铺 0.5	商行 0.3999999999999999	商业中心 0.29999999999999993	铜铁0 -1	铜铁1 -2
RESULT	市场.v 2101045002	市場 1.0	市集 0.9	集市 0.8	商場 0.7	商店 0.6	商场 0.5	商行 0.3999999999999999	商舖 0.29999999999999993	 0.19999999999999996	铜铁0 -1
RESULT	市场.v 2101045021	市場 1.0	市集 0.9	集市 0.8	商場 0.7	商店 0.6	商场 0.5	商行 0.3999999999999999	商舖 0.29999999999999993	 0.19999999999999996	铜铁0 -1
RESULT	市场.v 2102003020	市場 1.0	市面 0.9	市场份额 0.8	市场占有率 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	市场.v 2104003005	市場 1.0	市场行情 0.9	市场价格 0.8	市场需求 0.7	市场动态等 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	兴衰.v 2101003007	兴旺 1.0	衰落 0.9	兴盛 0.8	衰退 0.7	兴隆 0.6	衰弱 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	经商.v 2101003012	运营 1.0	经营 0.9	买卖 0.8	交易 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	经商.v 2101004008	贸易 1.0	买卖 0.9	交易 0.8	商业 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	经商.v 2101014022	贸易 1.0	买卖 0.9	商贩 0.8	商业 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	经商.v 2101029018	经营 1.0	经贸 0.9	经营业务 0.8	商业运作 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	得失.v 2101003014	收获和损失 1.0	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6	铜铁6 -7	铜铁7 -8	铜铁8 -9
RESULT	来.v 2101003016	考虑 1.0	探讨 0.9	探究 0.8	探索 0.7	深入研究 0.6	探讨等 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	来.v 2101015032	前往 1.0	到达 0.9	抵达 0.8	赶到 0.7	来到 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	来.v 2102005002	过来 1.0	来临 0.9	来到 0.8	来自 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	话题.v 2101003020	主题 1.0	议题 0.9	论题 0.8	课题 0.7	题目 0.6	问题 0.5	事项 0.3999999999999999	铜铁0 -1	铜铁1 -2	铜铁2 -3
RESULT	很.v 2101003021	非常 1.0	十分 0.9	极其 0.8	颇具 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	有.v 2101003022	合适 1.0	重要 0.9	有价值 0.8	有益 0.7	有用 0.6	有意义. 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	有.v 2101004010	拥有 1.0	具备 0.9	持有 0.8	占有 0.5	拥 0.19999999999999996	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	有.v 2101006017	具有 1.0	拥有 0.9	持有 0.8	拥抱 0.7	 0.19999999999999996	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	有.v 2101014021	具有 1.0	拥有 0.9	存在 0.8	持有 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	有.v 2101033002	具备 1.0	拥有 0.9	具備 0.8	持有 0.7	拥 0.19999999999999996	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	有.v 2101033026	具备 1.0	拥有 0.9	具備 0.8	持有 0.7	拥 0.19999999999999996	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	有.v 2101038003	拥有 1.0	持有 0.9	具备 0.8	拥 0.19999999999999996	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	有.v 2101040005	拥有 1.0	具备 0.9	掌握 0.8	懂得 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	有.v 2102005072	存在 1.0	具备 0.9	拥有 0.8	持有 0.7	拥 0.19999999999999996	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	有.v 2103007002	拥有 1.0	持有 0.9	拥有者 0.8	持有者 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	有.v 2103011009	跳 1.0	跃 0.9	蹦 0.8	跑 0.7	走 0.6	跋 0.5	跳跃 0.3999999999999999	蹒跚 0.29999999999999993	跳上 0.19999999999999996	跃上 0.09999999999999998	 0.0
RESULT	有.v 2103016004	存在 1.0	出现 0.9	发生 0.8	呈现 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	有.v 2104012019	达到 1.0	获得 0.9	占据 0.7	拥有 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	有.v 2105006005	拥有 1.0	持有 0.9	 0.19999999999999996	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6	铜铁6 -7
RESULT	有.v 2107001003	拥有 1.0	持有 0.9	具备 0.8	拥 0.19999999999999996	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	意义.v 2101003023	重要性 1.0	价值 0.9	意义 0.8	意味 0.7	意图 0.6	益处 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	人文.v 2101004001	文化 1.0	历史 0.9	社会 0.8	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6	铜铁6 -7
RESULT	地理.v 2101004002	地域 1.0	地理位置 0.9	地形 0.8	地貌 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	原因.v 2101004004	原因可以替换为因素 1.0	条件 0.9	原由 0.8	缘故 0.7	根源等 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	原因.v 2102014017	原因可以替换为：原由 1.0	缘故 0.9	根源 0.8	起因 0.7	来源 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	原因.v 2104008006	原因可以替换为：因素 1.0	原因 0.9	缘由 0.8	起因 0.7	动机 0.6	根 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	确.v 2101004009	明显 1.0	显然 0.9	确实 0.8	确切 0.7	确定 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	优势.v 2101004011	优势可以替换为优越性 1.0	优点 0.9	优势地位 0.8	优先权 0.7	优 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	改革.v 2101005001	改革可以替换为改变 1.0	变革 0.9	转型 0.8	调整 0.7	改造 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	当时.v 2101005005	当初 1.0	当年 0.9	当时候 0.8	当时期 0.7	当时代 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	属.v 2101005006	属于 1.0	具有 0.9	拥有 0.8	构成 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	短缺.v 2101005007	缺乏 1.0	短缺 0.9	缺口 0.8	缺少 0.7	缺失 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	又是.v 2101005012	同时 1.0	同样 0.9	也 0.8	并且. 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	刚.v 2101005013	刚开始 1.0	刚起步 0.9	刚拿起 0.8	刚投入 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	撂下.v 2101005014	放下 1.0	抛弃 0.9	抛开 0.8	放弃 0.7	抛掉 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	锄头.v 2101005015	铲子 1.0	铁锹 0.9	铁锤 0.8	铁镐 0.7	铁铲 0.6	铁耙 0.5	铁锄 0.3999999999999999	铜铁0 -1	铜铁1 -2	铜铁2 -3
RESULT	缝纫机.v 2101005019	缝纫机可以替换为缝纫机 1.0	缝纫设备 0.9	缝绣机 0.8	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6	铜铁6 -7
RESULT	火爆.v 2101005025	热烈 1.0	繁荣 0.9	火热 0.8	热闹 0.7	热潮 0.6	热销 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	掩盖.v 2101005026	遮蔽 1.0	掩护 0.9	掩埋 0.8	掩饰 0.7	隐藏 0.6	屏蔽 0.5	掩盖 0.3999999999999999	铜铁0 -1	铜铁1 -2	铜铁2 -3
RESULT	潜在.v 2101005028	隐藏的 1.0	潜伏的 0.9	潜在的 0.8	潜藏的 0.7	潟湖的 0.6	潜 0.3999999999999999	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	危机.v 2101005031	威胁 1.0	风险 0.9	危险 0.8	问题 0.7	隐患 0.6	危害 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	萧条.v 2101006002	衰退 1.0	低迷 0.9	不景气 0.8	经济不景气 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	重新.v 2101006007	重新检视 1.0	重新考虑 0.9	重新审慎 0.8	重新思考 0.7	重新评估 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	重新.v 2102012010	重做 1.0	修改 0.9	改进 0.8	重新制作 0.7	重新加工 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	重新.v 2103024020	再次 1.0	重复 0.9	复原 0.8	重新开始 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	审视.v 2101006008	检查 1.0	考察 0.9	审查 0.8	查看 0.7	探究 0.6	探求 0.5	探索 0.3999999999999999	探 0.29999999999999993	铜铁0 -1	铜铁1 -2
RESULT	认识.v 2101006012	意识到 1.0	认知到 0.9	理解到 0.8	领悟到 0.7	明白到 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	认识.v 2101008009	了解 1.0	理解 0.9	认知 0.8	认识 0.7	领悟 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	字.v 2101006016	词 1.0	概念 0.9	概括 0.8	概括性说明 0.7	概念性说明 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	字.v 2101029013	词 1.0	字句 0.9	概念 0.8	涵义 0.7	意义 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	重.v 2101006021	重要 1.0	重大 0.9	重复 0.8	重新 0.7	重点 0.6	重视 0.5	重心 0.3999999999999999	重组 0.29999999999999993	重拾 0.19999999999999996	 0.09999999999999998
RESULT	党委.v 2101007003	政府机关 1.0	行政机构 0.9	政府部门 0.8	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6	铜铁6 -7
RESULT	组建.v 2101007006	建立 1.0	创建 0.9	成立 0.8	设立 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	组建.v 2101032001	建立 1.0	创建 0.9	组织 0.8	设立 0.7	构建 0.6	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5
RESULT	统一.v 2101007010	制定 1.0	规定 0.9	设定 0.8	规范 0.7	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4	铜铁4 -5	铜铁5 -6
RESULT	标准.v 2101007012	规范 1.0	准则 0.9	规则 0.8	规格 0.7	要求 0.6	标准化 0.5	标准度 0.3999999999999999	标准性 0.29999999999999993	铜铁0 -1	铜铁1 -2
RESULT	标准.v 2101038005	规范 1.0	规格 0.9	准则 0.8	规则 0.7	要求 0.6	标准度 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	标准.v 2102005047	规范 1.0	准则 0.9	规则 0.8	规格 0.7	要求 0.6	标准化 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	标准.v 2102005057	规范 1.0	准则 0.9	规则 0.8	规格 0.7	要求 0.6	标准化 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
RESULT	标准.v 2102005061	规范 1.0	准则 0.9	规则 0.8	规格 0.7	要求 0.6	标准化 0.5	铜铁0 -1	铜铁1 -2	铜铁2 -3	铜铁3 -4
